Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
23147.332447449266,-104520.98155271789,26032.54032522921,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1522408,1730656577.150621,2000
23121.85145877021,-104506.7211397554,26057.730741230334,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.156378,1730656577.150621,2000
23079.494903027404,-104520.13218642856,26052.5004330278,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.161455,1730656577.150621,2000
23163.984497068464,-104502.87663970908,26053.43920629492,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.16446,1730656577.150621,2000
23231.039730434382,-104481.418965032,26061.329372087643,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1672196,1730656577.150621,2000
23213.11363138123,-104527.24004116537,26066.06794191217,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.172475,1730656577.150621,2000
23105.31116787329,-104527.48591035436,26068.593689035617,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.176434,1730656577.150621,2000
23104.059470183787,-104504.84359322114,26067.654915768497,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1803849,1730656577.150621,2000
23112.19550516552,-104502.27314260878,26069.644221025017,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.184261,1730656577.150621,2000
22976.87804423309,-104587.3885854946,26074.13692166053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1893916,1730656577.150621,2000
22970.12781740759,-104549.2341577094,26046.35370330259,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1922772,1730656577.150621,2000
23083.719382729458,-104514.34308461464,26045.05730212418,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.1953,1730656577.150621,2000
23090.31314734377,-104529.20699467744,26026.95238911538,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2002783,1730656577.150621,2000
23034.545544927783,-104541.03106749427,26042.93388640093,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2042985,1730656577.150621,2000
23021.44742267697,-104516.5112038268,26051.472252782853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2082932,1730656577.150621,2000
23009.9809777714,-104500.32854084118,26085.87158749957,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.212306,1730656577.150621,2000
23048.22481253443,-104499.12154664058,26041.97276138935,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2163455,1730656577.150621,2000
23102.941882961022,-104513.65018053654,26001.247882991775,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2193503,1730656577.150621,2000
23108.44041209703,-104504.6200757766,26050.48877602682,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.22534,1730656577.150621,2000
23135.2625054434,-104552.7210298444,26095.661651570997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2284143,1730656577.150621,2000
23157.99422955444,-104545.41200940752,26056.25552609629,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.232352,1730656577.150621,2000
23126.76884255038,-104488.6162267466,26044.945543401904,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.236374,1730656577.150621,2000
23049.118882312643,-104492.03604364826,26069.82303498066,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2404015,1730656577.150621,2000
23128.132298962155,-104507.39169208903,26058.24483135281,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.243353,1730656577.150621,2000
23127.282932672853,-104530.52574760027,26068.03489542424,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2473912,1730656577.150621,2000
23079.83017919424,-104527.19533767646,26051.53930801622,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2514324,1730656577.150621,2000
23073.81755993576,-104483.27415982175,26040.452842766383,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.256376,1730656577.150621,2000
23142.34800843573,-104472.6570812055,26043.760900945774,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2604084,1730656577.150621,2000
23196.662747462124,-104524.96016323092,26035.423700263946,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2644384,1730656577.150621,2000
23057.433731250017,-104528.69290455496,26097.136866705045,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2684171,1730656577.150621,2000
22925.87136338608,-104495.38880531656,26089.224349167867,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2714796,1730656577.150621,2000
22964.316363849208,-104525.2730876533,26023.95725535837,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2753935,1730656577.150621,2000
23105.735851017937,-104542.3274686727,25988.21681597433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.279426,1730656577.150621,2000
23178.15550305313,-104508.75514850084,26038.73175844333,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2834249,1730656577.150621,2000
23029.35994021415,-104508.97866594538,26094.4099538815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2884347,1730656577.150621,2000
22950.63709624256,-104540.0699424827,26047.046607380704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.2934313,1730656577.150621,2000
23016.731204596905,-104517.44997709394,25999.99618530228,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.297459,1730656577.150621,2000
23085.753391474893,-104512.84551773616,26042.15157534499,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.30047,1730656577.150621,2000
23085.06048739677,-104581.39831798058,26045.28081956873,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.304502,1730656577.150621,2000
23028.26470473584,-104537.96887850392,26041.078691611136,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.307544,1730656577.150621,2000
23048.291867767795,-104537.25362268134,26040.318732299656,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656577.3114903,1730656577.150621,2000
