Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-31716.678347191617,-183108.3068976768,-1445.6214243914396,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.4725204,1730328071.4696314,2000
-31758.61021978977,-183140.1357817812,-1466.2744362681433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.476648,1730328071.4696314,2000
-31783.018324734967,-183137.34181372428,-1421.6603543353503,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.4805672,1730328071.4696314,2000
-31738.33718756881,-183193.10941614027,-1387.8421649744707,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.4857428,1730328071.4696314,2000
-31712.587977956293,-183252.4532976691,-1425.8624822929482,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.4886065,1730328071.4696314,2000
-31752.932876698123,-183265.0596815419,-1464.3968897338975,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.492689,1730328071.4696314,2000
-31789.120350971265,-183237.7011463286,-1434.289089952599,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.4966187,1730328071.4696314,2000
-31748.842507462803,-183276.3696642363,-1390.032635931091,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5005894,1730328071.4696314,2000
-31709.637547688195,-183332.45019107463,-1419.4698833787304,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5047035,1730328071.4696314,2000
-31735.38675730071,-183373.01860726104,-1463.1004885554896,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.508604,1730328071.4696314,2000
-31782.571289845862,-183389.84947083588,-1438.0441830210905,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5136766,1730328071.4696314,2000
-31767.61797280526,-183372.7280345831,-1398.638057546384,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5166876,1730328071.4696314,2000
-31721.14869608268,-183452.88139019985,-1413.7925402870824,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5206506,1730328071.4696314,2000
-31742.271094592943,-183480.97753298012,-1465.8050496345818,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5247796,1730328071.4696314,2000
-31776.67042930966,-183539.98613834215,-1445.0179272911464,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5288155,1730328071.4696314,2000
-31775.32932464234,-183531.0454405601,-1403.0413512040795,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5328507,1730328071.4696314,2000
-31733.173934599632,-183539.6285104309,-1411.7138280527388,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5365956,1730328071.4696314,2000
-31728.144792097188,-183609.589470576,-1457.736069886216,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5408628,1730328071.4696314,2000
-31774.994048475517,-183624.38632540544,-1456.640834407906,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5447536,1730328071.4696314,2000
-31781.54310960092,-183639.04906976808,-1406.282354150099,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5476696,1730328071.4696314,2000
-31739.52183002494,-183636.43391566683,-1405.1871186717892,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5528216,1730328071.4696314,2000
-31722.132172838712,-183711.69223924784,-1446.0908110250011,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5568976,1730328071.4696314,2000
-31764.980466959536,-183769.56090564263,-1456.640834407906,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5608692,1730328071.4696314,2000
-31782.81715903487,-183784.76009187225,-1411.8255867750154,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5646667,1730328071.4696314,2000
-31744.953303927578,-183794.5054524548,-1403.0189994596244,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5689142,1730328071.4696314,2000
-31732.30221656588,-183763.2800654507,-1457.9819390752243,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5717058,1730328071.4696314,2000
-31752.61995227575,-183852.24000838285,-1463.1675437888557,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5759337,1730328071.4696314,2000
-31775.418731620164,-183901.8161775847,-1419.8275112900153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.579837,1730328071.4696314,2000
-31739.49947828049,-183912.00857305632,-1395.7323307671943,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5847228,1730328071.4696314,2000
-31723.24976006148,-183895.17770948145,-1439.7429155996938,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5886984,1730328071.4696314,2000
-31758.409054089672,-183919.29524174877,-1469.4260322363416,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.592697,1730328071.4696314,2000
-31778.503272355,-183992.45250135096,-1430.221072461733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5967388,1730328071.4696314,2000
-31751.85999296427,-184009.4845306259,-1395.061778433535,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.5999253,1730328071.4696314,2000
-31724.434402517607,-183993.7712542738,-1434.154979485867,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6038923,1730328071.4696314,2000
-31744.70743473857,-184011.74205681589,-1474.9245613723472,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.608905,1730328071.4696314,2000
-31773.272964152453,-184100.7467032369,-1439.027659777124,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.612944,1730328071.4696314,2000
-31761.58300180233,-184117.1081801782,-1396.9169732233254,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6169736,1730328071.4696314,2000
-31724.21088507305,-184158.7941835873,-1414.418389131831,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.620963,1730328071.4696314,2000
-31736.28082707892,-184180.29656175332,-1471.2365235372215,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6240168,1730328071.4696314,2000
-31776.938650243123,-184183.55991644383,-1460.932369343325,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6279905,1730328071.4696314,2000
-31768.48969083902,-184246.52478057443,-1403.7789587711047,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6320062,1730328071.4696314,2000
-31727.116611852245,-184251.01748120997,-1415.1112932099454,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6360176,1730328071.4696314,2000
-31728.23419907501,-184276.6325803557,-1468.0625758245678,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.640061,1730328071.4696314,2000
-31773.027094963443,-184282.0640542584,-1467.995520591202,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6440463,1730328071.4696314,2000
-31774.50231009749,-184336.26703456248,-1410.7750547856158,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6478832,1730328071.4696314,2000
-31736.772565456937,-184363.04442441996,-1407.0199617171245,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6530426,1730328071.4696314,2000
-31726.98250138551,-184408.73139008656,-1461.513514699163,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.656968,1730328071.4696314,2000
-31768.422635605653,-184418.78967509148,-1478.76906141866,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.6610577,1730328071.4696314,2000
-31785.16409220268,-184398.74016031504,-1427.4718078937303,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328071.663828,1730328071.4696314,2000
