Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-19642.5342133682,-154006.67089303385,-12697.89191459321,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.268238,1731450665.2672524,2000
-19635.94044875389,-153993.48336380522,-12705.692673408112,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2722588,1731450665.2672524,2000
-19573.80259916813,-154096.32374004408,-12679.518780650948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.275396,1731450665.2672524,2000
-19593.15920986643,-154089.01471960722,-12647.488730846491,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2784617,1731450665.2672524,2000
-19635.024027231226,-154045.31705919708,-12655.624765828225,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2825167,1731450665.2672524,2000
-19640.92488776742,-154100.99525463526,-12681.03869927391,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2862208,1731450665.2672524,2000
-19616.27091363322,-154169.90568279097,-12665.146608966186,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2903368,1731450665.2672524,2000
-19618.05905318964,-154194.15732552498,-12639.9338412206,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2943416,1731450665.2672524,2000
-19642.623620346025,-154141.00487721025,-12662.12912346472,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.2982087,1731450665.2672524,2000
-19661.62260313304,-154124.2857723577,-12686.492524921005,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3023806,1731450665.2672524,2000
-19620.338931124083,-154239.17373885796,-12657.8375885293,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.305313,1731450665.2672524,2000
-19584.39732603995,-154274.0648119527,-12637.184576652597,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.310289,1731450665.2672524,2000
-19608.09017516257,-154222.74520668332,-12665.347774666285,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3142388,1731450665.2672524,2000
-19649.73147508281,-154184.56842715366,-12690.068804033854,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3185031,1731450665.2672524,2000
-19622.507050336248,-154255.78108498827,-12661.056239730864,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3224933,1731450665.2672524,2000
-19575.09900034654,-154367.24923458687,-12638.838605742289,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.326573,1731450665.2672524,2000
-19593.293320333163,-154331.55349869173,-12655.02126872793,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3303688,1731450665.2672524,2000
-19643.584745357603,-154243.48762553785,-12681.239864974006,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3335252,1731450665.2672524,2000
-19635.158137697952,-154306.83246932417,-12671.472152647037,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.337348,1731450665.2672524,2000
-19582.67624171689,-154364.76819095234,-12653.143722193685,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3424456,1731450665.2672524,2000
-19586.63250048548,-154330.681780658,-12664.587815354804,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.347524,1731450665.2672524,2000
-19620.674207290915,-154293.17555346197,-12687.677167377136,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3514955,1731450665.2672524,2000
-19613.007558942743,-154325.58558292218,-12680.546960895892,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3543816,1731450665.2672524,2000
-19565.19717755284,-154430.01293301737,-12644.35948662275,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3574767,1731450665.2672524,2000
-19568.572290965592,-154415.0596159768,-12656.474132117526,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3613749,1731450665.2672524,2000
-19645.21642270284,-154317.00251305135,-12669.147571223686,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.365624,1731450665.2672524,2000
-19656.03466701921,-154382.02373767184,-12645.320611634328,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.37145,1731450665.2672524,2000
-19602.658701259938,-154473.93411087204,-12624.868765457722,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3746178,1731450665.2672524,2000
-19577.267119558703,-154467.8097328913,-12635.68700977409,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731450665.3786469,1731450665.2672524,2000
