Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-3852.4125638499936,-187500.02235174447,-535.8383698270762,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0611968,1730329640.059127,2000
-3856.704098785413,-187500.02235174447,-565.812059141643,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0653615,1730329640.059127,2000
-3765.240760474296,-187500.02235174447,-581.8382599160982,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0692165,1730329640.059127,2000
-3747.337013165595,-187500.02235174447,-555.4184979699252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0743167,1730329640.059127,2000
-3837.4368950649377,-187500.02235174447,-534.1172855040176,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0772183,1730329640.059127,2000
-3875.256046683317,-187500.02235174447,-566.102631819562,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0802472,1730329640.059127,2000
-3791.6158189315584,-187500.02235174447,-589.2143355863495,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0852015,1730329640.059127,2000
-3739.804475284157,-187500.02235174447,-559.7100329053442,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0893989,1730329640.059127,2000
-3819.309630311684,-187500.02235174447,-530.8986343024534,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.0933087,1730329640.059127,2000
-3879.301712429728,-187500.02235174447,-556.2902160036822,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.097432,1730329640.059127,2000
-3807.932592383933,-187500.02235174447,-587.8955826634864,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1014464,1730329640.059127,2000
-3740.922062506922,-187500.02235174447,-568.0919370760843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1053848,1730329640.059127,2000
-3807.105577839086,-187500.02235174447,-536.7994948386544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1084406,1730329640.059127,2000
-3882.72152933139,-187500.02235174447,-552.9598060798414,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.112456,1730329640.059127,2000
-3826.149264115008,-187500.02235174447,-585.168669839939,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1174667,1730329640.059127,2000
-3748.029917243709,-187500.02235174447,-577.4796697473133,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1214535,1730329640.059127,2000
-3790.140603797508,-187500.02235174447,-540.2416634847717,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.125466,1730329640.059127,2000
-3873.266741426795,-187500.02235174447,-544.7567158647437,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.12949,1730329640.059127,2000
-3841.7060782559015,-187500.02235174447,-582.2405913162937,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1334872,1730329640.059127,2000
-3755.830676058612,-187500.02235174447,-587.1132716075506,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1363564,1730329640.059127,2000
-3779.948208325888,-187500.02235174447,-553.8315241135984,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1404903,1730329640.059127,2000
-3868.461116368904,-187500.02235174447,-544.0861635310845,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1455247,1730329640.059127,2000
-3854.692441784435,-187500.02235174447,-573.746928423277,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1495087,1730329640.059127,2000
-3757.909388292955,-187500.02235174447,-580.5418587376903,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.153516,1730329640.059127,2000
-3751.561492867648,-187500.02235174447,-545.941358320875,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1575036,1730329640.059127,2000
-3845.349412602117,-187500.02235174447,-532.10562850304,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1604066,1730329640.059127,2000
-3861.085040698653,-187500.02235174447,-565.4320794859028,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1645348,1730329640.059127,2000
-3767.341824453095,-187500.02235174447,-578.4184430144362,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1683695,1730329640.059127,2000
-3741.3467456515727,-187500.02235174447,-547.9306635773974,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1735132,1730329640.059127,2000
-3830.396095561516,-187500.02235174447,-527.300003445149,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.177407,1730329640.059127,2000
-3870.137497203052,-187500.02235174447,-553.652710157956,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1815505,1730329640.059127,2000
-3793.068682321153,-187500.02235174447,-583.8052134281652,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1845458,1730329640.059127,2000
-3741.4361526293937,-187500.02235174447,-559.3971084829699,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.1885538,1730329640.059127,2000
-3817.856766922089,-187500.02235174447,-533.558491892635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329640.192567,1730329640.059127,2000
