Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-4846.796971177694,-187500.02235174447,18163.1393031048,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5676668,1730411795.5660644,2000
-4842.5501397311855,-187500.02235174447,18150.152939576263,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.571765,1730411795.5660644,2000
-4843.287747298211,-187500.02235174447,18159.674782714224,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.575865,1730411795.5660644,2000
-4853.3460323031,-187500.02235174447,18167.47554152913,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5787425,1730411795.5660644,2000
-4850.037974123714,-187500.02235174447,18155.40559952326,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5827563,1730411795.5660644,2000
-4840.314965285655,-187500.02235174447,18143.715637173133,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.586686,1730411795.5660644,2000
-4853.480142769831,-187500.02235174447,18157.283146057503,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5908976,1730411795.5660644,2000
-4855.000061392791,-187500.02235174447,18175.41041081076,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5968175,1730411795.5660644,2000
-4850.194436334901,-187500.02235174447,18163.42987578272,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.5997417,1730411795.5660644,2000
-4841.119628086046,-187500.02235174447,18145.77199766302,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6037996,1730411795.5660644,2000
-4834.235290793811,-187500.02235174447,18155.51735824553,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6070411,1730411795.5660644,2000
-4837.409238506465,-187500.02235174447,18180.21603586865,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6108456,1730411795.5660644,2000
-4836.425761750432,-187500.02235174447,18178.137323634302,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6149232,1730411795.5660644,2000
-4823.372342988532,-187500.02235174447,18159.69713445868,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6189785,1730411795.5660644,2000
-4830.52490121423,-187500.02235174447,18153.79627392248,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6229577,1730411795.5660644,2000
-4850.909692157471,-187500.02235174447,18163.049896126973,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.62774,1730411795.5660644,2000
-4848.495703756297,-187500.02235174447,18170.113047374853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6319273,1730411795.5660644,2000
-4839.62206120754,-187500.02235174447,18154.913861145244,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6350083,1730411795.5660644,2000
-4839.689116440906,-187500.02235174447,18149.527090731517,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.638952,1730411795.5660644,2000
-4845.00883162127,-187500.02235174447,18160.50179725907,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6429696,1730411795.5660644,2000
-4838.4374187514095,-187500.02235174447,18172.97407066513,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6469333,1730411795.5660644,2000
-4824.042895322192,-187500.02235174447,18163.474579271624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.650876,1730411795.5660644,2000
-4835.174064060934,-187500.02235174447,18151.561099476945,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6558533,1730411795.5660644,2000
-4853.927177658937,-187500.02235174447,18161.999364137577,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6598468,1730411795.5660644,2000
-4855.000061392791,-187500.02235174447,18172.482332287116,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6627944,1730411795.5660644,2000
-4848.4733520118425,-187500.02235174447,18153.706866944656,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6669223,1730411795.5660644,2000
-4841.790180419705,-187500.02235174447,18140.94402086068,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6709504,1730411795.5660644,2000
-4839.107971085068,-187500.02235174447,18158.02075362453,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6750004,1730411795.5660644,2000
-4845.05353511018,-187500.02235174447,18170.20245435267,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6789424,1730411795.5660644,2000
-4838.616232707052,-187500.02235174447,18160.322983303427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.68408,1730411795.5660644,2000
-4829.831997136116,-187500.02235174447,18145.906108129755,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6879916,1730411795.5660644,2000
-4841.410200763965,-187500.02235174447,18151.650506454767,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.691063,1730411795.5660644,2000
-4850.596767735096,-187500.02235174447,18165.799160694976,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6949117,1730411795.5660644,2000
-4849.43447702342,-187500.02235174447,18157.953698391164,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.6990738,1730411795.5660644,2000
-4842.974822875836,-187500.02235174447,18133.45618646815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730411795.7029605,1730411795.5660644,2000
