Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-10457.59891958224,-37646.126764551016,9570.949920529118,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1111343,1730986666.107968,2000
-10445.216053154,-37667.87501190604,9579.734156100054,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1151748,1730986666.107968,2000
-10450.334602634264,-37725.810733534185,9595.670949896688,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1191487,1730986666.107968,2000
-10452.726239290982,-37681.37546555704,9586.059699780906,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1231537,1730986666.107968,2000
-10452.659184057617,-37648.60780818556,9574.995586275529,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1282787,1730986666.107968,2000
-10455.16257943661,-37659.58251471311,9576.202580476116,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1311607,1730986666.107968,2000
-10451.87687300168,-37732.51625687078,9586.75260385902,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1341436,1730986666.107968,2000
-10448.68057354457,-37694.585346530126,9581.879923567763,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1392612,1730986666.107968,2000
-10450.15578867862,-37611.14628447846,9576.202580476116,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.14332,1730986666.107968,2000
-10452.569777079794,-37629.38530795399,9577.32016769888,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.147477,1730986666.107968,2000
-10453.128570691177,-37738.59593136262,9587.579618403866,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.15117,1730986666.107968,2000
-10460.862274272711,-37724.3578701446,9579.309472955403,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.15624,1730986666.107968,2000
-10458.425934127084,-37671.89832590799,9567.41834490518,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.159268,1730986666.107968,2000
-10445.10429443172,-37640.15884878145,9567.463048394093,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1622963,1730986666.107968,2000
-10437.795273994836,-37660.9906746138,9583.176324746171,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1672847,1730986666.107968,2000
-10449.351125878233,-37697.98281168733,9582.438717179146,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1714573,1730986666.107968,2000
-10462.605710340227,-37634.57091266762,9568.021842005472,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1753902,1730986666.107968,2000
-10458.02360272689,-37611.660374600935,9566.27840593796,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1793427,1730986666.107968,2000
-10453.106218946725,-37661.75063392528,9580.047080522429,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.184368,1730986666.107968,2000
-10457.867140515702,-37669.55139274018,9585.120926513782,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1873856,1730986666.107968,2000
-10454.939061992058,-37609.06757224412,9570.681699595654,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.190242,1730986666.107968,2000
-10448.390000866651,-37585.70999928832,9564.400859403711,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1953895,1730986666.107968,2000
-10442.958526964012,-37654.4416134884,9574.503847897511,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.1992764,1730986666.107968,2000
-10441.952698463523,-37718.92639624195,9581.388185189746,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2034144,1730986666.107968,2000
-10456.011945725912,-37648.42899422992,9573.676833352663,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2072985,1730986666.107968,2000
-10448.345297377742,-37603.70315357485,9568.044193749927,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2103968,1730986666.107968,2000
-10433.816663481792,-37663.49406999279,9576.247283965024,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2143848,1730986666.107968,2000
-10429.480425057463,-37765.395672964536,9587.736080615054,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2183998,1730986666.107968,2000
-10442.53384381936,-37698.18397738743,9577.297815954424,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.222293,1730986666.107968,2000
-10449.529939833874,-37603.50198787475,9570.860513551295,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.227285,1730986666.107968,2000
-10449.038201455856,-37602.429104140894,9576.068470009384,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.231295,1730986666.107968,2000
-10441.50566357442,-37683.63299174702,9585.970292803084,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.2353213,1730986666.107968,2000
-10449.68640204506,-37708.33166937013,9579.46593516659,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.23831,1730986666.107968,2000
-10453.843826513748,-37610.11810423352,9565.27257743747,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.242313,1730986666.107968,2000
-10445.461922343007,-37608.19585421036,9567.016013504985,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730986666.246333,1730986666.107968,2000
