Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
29844.80915603747,-99272.94841682295,17255.233795074677,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0263965,1730653657.0235674,2000
29855.694455587203,-99251.28957644578,17250.204652572233,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0312157,1730653657.0235674,2000
29870.066627271968,-99253.18947472448,17245.13080658088,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0351677,1730653657.0235674,2000
29872.882947073336,-99264.81238184124,17246.181338570277,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0413785,1730653657.0235674,2000
29859.896583544803,-99281.55383843828,17254.071504363,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.044129,1730653657.0235674,2000
29843.06571996996,-99303.25738230436,17255.881995663884,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0470853,1730653657.0235674,2000
29844.47387987064,-99281.46443146044,17248.014181615614,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0512128,1730653657.0235674,2000
29862.511737646077,-99271.76377436685,17242.35919026842,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0543015,1730653657.0235674,2000
29866.088016758924,-99275.13888777958,17245.46608274771,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0591972,1730653657.0235674,2000
29854.8450892979,-99265.66174813054,17260.575861999496,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0630248,1730653657.0235674,2000
29846.530240360527,-99250.39550666756,17251.83632991747,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0670896,1730653657.0235674,2000
29862.511737646077,-99265.63939638608,17258.586556742976,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0700877,1730653657.0235674,2000
29866.713865603677,-99253.65886135804,17254.764408441115,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0743055,1730653657.0235674,2000
29871.318324961463,-99240.51603561832,17256.530196253087,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0782015,1730653657.0235674,2000
29889.982031581647,-99248.51796013332,17258.631260231883,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0821216,1730653657.0235674,2000
29906.05293584501,-99270.15444876606,17255.859643919426,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0864525,1730653657.0235674,2000
29847.804289794483,-99294.31668452224,17252.372771784398,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.0916195,1730653657.0235674,2000
29806.85589395236,-99282.40320472755,17251.433998517277,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730653657.094392,1730653657.0235674,2000
