Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-28743.35989276885,-187500.02235174447,727.1245988755941,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.6863234,1730328514.6831665,3000
-28727.132526294296,-187500.02235174447,735.1935786239599,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.6894329,1730328514.6831665,3000
-28750.557154483457,-187500.02235174447,674.7544616168096,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.693421,1730328514.6831665,3000
-28795.193588160702,-187500.02235174447,655.5543131297009,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.697566,1730328514.6831665,3000
-28766.27043083554,-187500.02235174447,700.481319484868,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7012749,1730328514.6831665,3000
-28734.039215330988,-187500.02235174447,718.5862324936668,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7053635,1730328514.6831665,3000
-28748.232573060108,-187500.02235174447,681.3482262311252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7092094,1730328514.6831665,3000
-28784.241233377605,-187500.02235174447,671.4016999485135,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7132835,1730328514.6831665,3000
-28782.877776965837,-187500.02235174447,718.7650464493092,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7172189,1730328514.6831665,3000
-28738.7330816666,-187500.02235174447,736.0876484021721,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7211752,1730328514.6831665,3000
-28741.30353227896,-187500.02235174447,680.3647494750917,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7252176,1730328514.6831665,3000
-28795.55121607199,-187500.02235174447,646.0324699917401,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7293477,1730328514.6831665,3000
-28787.370477601347,-187500.02235174447,701.0624648407061,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7332318,1730328514.6831665,3000
-28728.898314106267,-187500.02235174447,747.6882037744765,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.737574,1730328514.6831665,3000
-28729.390052484283,-187500.02235174447,702.157700319016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7413204,1730328514.6831665,3000
-28766.7398174691,-187500.02235174447,658.2141707198824,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7447374,1730328514.6831665,3000
-28771.388980315805,-187500.02235174447,711.7465986903428,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.749444,1730328514.6831665,3000
-28742.599933457368,-187500.02235174447,751.8009247542531,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7534337,1730328514.6831665,3000
-28725.813773371432,-187500.02235174447,708.125616088583,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.757424,1730328514.6831665,3000
-28740.45416598966,-187500.02235174447,664.6067696341001,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7614567,1730328514.6831665,3000
-28764.88462267931,-187500.02235174447,693.1722990479826,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7654662,1730328514.6831665,3000
-28756.770939442034,-187500.02235174447,740.6027007821442,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7694929,1730328514.6831665,3000
-28709.29583421896,-187500.02235174447,725.1129418746165,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7724652,1730328514.6831665,3000
-28764.88462267931,-187500.02235174447,664.1373830005388,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7764864,1730328514.6831665,3000
-28827.13423098734,-187500.02235174447,666.193743490427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7814546,1730328514.6831665,3000
-28769.42202680374,-187500.02235174447,723.8835959295745,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7855225,1730328514.6831665,3000
-28713.028575543,-187500.02235174447,744.1119246616274,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.789526,1730328514.6831665,3000
-28742.68934043519,-187500.02235174447,689.7524821463206,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.793496,1730328514.6831665,3000
-28788.55512005748,-187500.02235174447,672.1393075155387,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.7975185,1730328514.6831665,3000
-28775.12172163984,-187500.02235174447,728.0186686538063,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.8002985,1730328514.6831665,3000
-28740.78944215649,-187500.02235174447,729.6503459990438,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.8055255,1730328514.6831665,3000
-28754.31224755195,-187500.02235174447,663.3997754335136,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.8093147,1730328514.6831665,3000
-28792.98076545963,-187500.02235174447,653.6991183399103,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.813536,1730328514.6831665,3000
-28803.03905046452,-187500.02235174447,700.0789880846725,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328514.8173945,1730328514.6831665,3000
