Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-8054.741687147819,-187500.02235174447,6195.210658933003,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6452065,1731451353.6432064,3000
-8065.73874541983,-187500.02235174447,6167.606254530699,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6493163,1731451353.6432064,3000
-8107.022417428782,-187500.02235174447,6147.623794987655,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.653237,1731451353.6432064,3000
-8083.150754350514,-187500.02235174447,6167.941530697529,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6572473,1731451353.6432064,3000
-8034.468654926855,-187500.02235174447,6189.5109640969,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6612437,1731451353.6432064,3000
-8061.916597117973,-187500.02235174447,6174.803516245308,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6662333,1731451353.6432064,3000
-8100.920391192483,-187500.02235174447,6159.26905384887,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.669272,1731451353.6432064,3000
-8074.880608902051,-187500.02235174447,6170.601388287711,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.673254,1731451353.6432064,3000
-8034.759227604774,-187500.02235174447,6184.235952405447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6774085,1731451353.6432064,3000
-8052.238291768825,-187500.02235174447,6171.674272021565,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.682297,1731451353.6432064,3000
-8095.1536411230145,-187500.02235174447,6151.244777589414,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6873596,1731451353.6432064,3000
-8079.507420004299,-187500.02235174447,6147.869664176663,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6903162,1731451353.6432064,3000
-8039.900128829495,-187500.02235174447,6158.5090945373895,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6932957,1731451353.6432064,3000
-8055.233425525836,-187500.02235174447,6176.457545335001,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.6974072,1731451353.6432064,3000
-8083.642492728531,-187500.02235174447,6166.93570219704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.701412,1731451353.6432064,3000
-8068.890341388028,-187500.02235174447,6149.702507221998,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.705449,1731451353.6432064,3000
-8021.1917187204035,-187500.02235174447,6175.518772067878,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7094178,1731451353.6432064,3000
-8040.011887551772,-187500.02235174447,6186.202905917515,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7125423,1731451353.6432064,3000
-8112.096263420137,-187500.02235174447,6175.272902878869,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.716376,1731451353.6432064,3000
-8117.304219878223,-187500.02235174447,6176.099917423716,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7203677,1731451353.6432064,3000
-8065.02348959726,-187500.02235174447,6188.371025129679,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.727453,1731451353.6432064,3000
-8046.49389344381,-187500.02235174447,6186.225257661969,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.730374,1731451353.6432064,3000
-8085.609446240598,-187500.02235174447,6162.085373650239,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7343895,1731451353.6432064,3000
-8105.591905783643,-187500.02235174447,6151.915329923074,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7374206,1731451353.6432064,3000
-8060.620195939565,-187500.02235174447,6178.178629658059,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7414155,1731451353.6432064,3000
-8030.557099647177,-187500.02235174447,6193.288408909847,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7454495,1731451353.6432064,3000
-8063.816495396673,-187500.02235174447,6172.233065632948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7493937,1731451353.6432064,3000
-8087.822268941673,-187500.02235174447,6154.798704957808,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7544167,1731451353.6432064,3000
-8048.63966091152,-187500.02235174447,6160.788972471831,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7586095,1731451353.6432064,3000
-8022.935154787917,-187500.02235174447,6180.860838992696,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7626278,1731451353.6432064,3000
-8064.107068074592,-187500.02235174447,6185.8676297506845,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7656898,1731451353.6432064,3000
-8102.84264121564,-187500.02235174447,6173.395356344624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7694795,1731451353.6432064,3000
-8078.590998481632,-187500.02235174447,6184.5712285722775,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7725852,1731451353.6432064,3000
-8041.30828873018,-187500.02235174447,6197.55759210081,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.776528,1731451353.6432064,3000
-8057.043916826716,-187500.02235174447,6182.671330293576,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.780464,1731451353.6432064,3000
-8078.278074059257,-187500.02235174447,6156.609196258688,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7846503,1731451353.6432064,3000
-8086.279998574258,-187500.02235174447,6165.281673107347,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7895496,1731451353.6432064,3000
-8062.363632007079,-187500.02235174447,6196.395301389134,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.7935674,1731451353.6432064,3000
-8058.899111616506,-187500.02235174447,6196.015321733395,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.796651,1731451353.6432064,3000
-8096.852373701618,-187500.02235174447,6169.930835954051,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8006585,1731451353.6432064,3000
-8098.171126624481,-187500.02235174447,6171.853085977207,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.804782,1731451353.6432064,3000
-8054.49581795881,-187500.02235174447,6187.789879773842,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8086135,1731451353.6432064,3000
-8042.02354455275,-187500.02235174447,6184.660635550098,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8126516,1731451353.6432064,3000
-8088.023434641771,-187500.02235174447,6167.65095801961,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.817643,1731451353.6432064,3000
-8101.322722592679,-187500.02235174447,6174.22237088947,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8207252,1731451353.6432064,3000
-8056.328661004146,-187500.02235174447,6193.713092054498,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8246143,1731451353.6432064,3000
-8039.207224751381,-187500.02235174447,6194.540106599344,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8296127,1731451353.6432064,3000
-8074.590036224132,-187500.02235174447,6172.434231333045,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.833666,1731451353.6432064,3000
-8086.771736952274,-187500.02235174447,6156.899768936607,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.837682,1731451353.6432064,3000
-8042.78350386423,-187500.02235174447,6164.812286473785,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8426447,1731451353.6432064,3000
-8016.430797151423,-187500.02235174447,6179.98912095894,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8536537,1731451353.6432064,3000
-8074.701794946408,-187500.02235174447,6180.436155848045,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8578484,1731451353.6432064,3000
-8120.880498991072,-187500.02235174447,6193.646036821132,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.860724,1731451353.6432064,3000
-8069.560893721687,-187500.02235174447,6212.399150419135,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8636105,1731451353.6432064,3000
-8021.72816058733,-187500.02235174447,6210.745121329442,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8667293,1731451353.6432064,3000
-8060.061402328182,-187500.02235174447,6187.454603607011,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451353.8708413,1731451353.6432064,3000
