Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-2597.049188262128,-187500.02235174447,4418.001105547083,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6590145,1730329894.6570528,3000
-2526.2835653166253,-187500.02235174447,4424.170187016748,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6641395,1730329894.6570528,3000
-2570.003577471206,-187500.02235174447,4451.998108863605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6680238,1730329894.6570528,3000
-2656.3036628131467,-187500.02235174447,4456.446106010211,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6719732,1730329894.6570528,3000
-2615.6905431378536,-187500.02235174447,4424.281945739025,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6749835,1730329894.6570528,3000
-2527.8034839395864,-187500.02235174447,4425.131312028327,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.678938,1730329894.6570528,3000
-2552.9268447073514,-187500.02235174447,4461.229379323648,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6831183,1730329894.6570528,3000
-2642.803209162141,-187500.02235174447,4467.823143937962,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6869547,1730329894.6570528,3000
-2634.1754358023927,-187500.02235174447,4428.148797529793,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.6920292,1730329894.6570528,3000
-2543.4273533138457,-187500.02235174447,4416.905870068774,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.696021,1730329894.6570528,3000
-2541.996841668706,-187500.02235174447,4455.574387976455,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.7001133,1730329894.6570528,3000
-2638.936357371373,-187500.02235174447,4469.276007327558,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.7030413,1730329894.6570528,3000
-2645.373659774501,-187500.02235174447,4434.384934232823,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.7072012,1730329894.6570528,3000
-2552.8374377295304,-187500.02235174447,4414.044846778494,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.7110765,1730329894.6570528,3000
-2534.9560421652845,-187500.02235174447,4440.68812616922,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329894.7152069,1730329894.6570528,3000
