Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-1047.5145038979656,-187500.02235174447,-1078.985760091038,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.5782857,1730245123.5761764,3000
-1023.0840472083148,-187500.02235174447,-1005.2697068774352,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.58145,1730245123.5761764,3000
-1036.20452120358,-187500.02235174447,-1004.9344307106056,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.5852876,1730245123.5761764,3000
-1078.2481525240128,-187500.02235174447,-1067.8769430967502,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.5894835,1730245123.5761764,3000
-1065.150030273203,-187500.02235174447,-1077.68935891263,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.592427,1730245123.5761764,3000
-1030.01308798946,-187500.02235174447,-1009.337724368301,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.5964773,1730245123.5761764,3000
-1037.9926607600046,-187500.02235174447,-995.144366639181,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6004727,1730245123.5761764,3000
-1089.9381148741384,-187500.02235174447,-1065.887637840228,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6054542,1730245123.5761764,3000
-1077.0635100678817,-187500.02235174447,-1094.5425742319314,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.608467,1730245123.5761764,3000
-1034.0364019914152,-187500.02235174447,-1034.9304717696275,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6122675,1730245123.5761764,3000
-1038.4843991380214,-187500.02235174447,-993.1327096382034,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6164055,1730245123.5761764,3000
-1069.173344275158,-187500.02235174447,-1051.5154661554654,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6203792,1730245123.5761764,3000
-1058.466858681066,-187500.02235174447,-1102.8797749137611,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6244736,1730245123.5761764,3000
-1015.1491779266807,-187500.02235174447,-1044.5193701409544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6305785,1730245123.5761764,3000
-1045.4134399191666,-187500.02235174447,-987.9918084134828,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6334765,1730245123.5761764,3000
-1056.0528702798929,-187500.02235174447,-1034.6846025806192,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6364536,1730245123.5761764,3000
-1075.9012193562055,-187500.02235174447,-1064.4347744506329,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6414983,1730245123.5761764,3000
-1056.723422613552,-187500.02235174447,-1028.0014309884823,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6444893,1730245123.5761764,3000
-1039.1325997272254,-187500.02235174447,-981.6886164770862,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6483831,1730245123.5761764,3000
-1060.4114604486776,-187500.02235174447,-1009.9412214685944,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.654534,1730245123.5761764,3000
-1076.5494199454097,-187500.02235174447,-1070.9391320871273,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.657509,1730245123.5761764,3000
-1044.8769980522393,-187500.02235174447,-1045.9051782971833,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6605492,1730245123.5761764,3000
-1024.112227453259,-187500.02235174447,-983.1638316111364,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6643455,1730245123.5761764,3000
-1056.7681261024627,-187500.02235174447,-993.0880061492928,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6684897,1730245123.5761764,3000
-1077.756414145996,-187500.02235174447,-1050.241416721513,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6725245,1730245123.5761764,3000
-1059.5844459038312,-187500.02235174447,-1044.8099428188734,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6763916,1730245123.5761764,3000
-1039.087896238315,-187500.02235174447,-992.372750326723,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6805568,1730245123.5761764,3000
-1056.5222569134542,-187500.02235174447,-978.7828896978964,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6844246,1730245123.5761764,3000
-1083.657274682197,-187500.02235174447,-1039.2220067050466,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6885636,1730245123.5761764,3000
-1065.9099895846832,-187500.02235174447,-1053.750640600996,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6915815,1730245123.5761764,3000
-1031.1530269566808,-187500.02235174447,-989.9587619255498,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.6966093,1730245123.5761764,3000
-1037.6126811042643,-187500.02235174447,-970.1104128492372,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.701468,1730245123.5761764,3000
-1094.3861120207443,-187500.02235174447,-1029.4766461225329,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.704584,1730245123.5761764,3000
-1107.0371993824483,-187500.02235174447,-1062.1325447717363,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.7086043,1730245123.5761764,3000
-1059.9644255595715,-187500.02235174447,-1005.0908929217928,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.7126284,1730245123.5761764,3000
-1047.8497800647951,-187500.02235174447,-965.9306366360948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.7166524,1730245123.5761764,3000
-1075.4094809781886,-187500.02235174447,-1016.7361517830076,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.721616,1730245123.5761764,3000
-1055.270559223957,-187500.02235174447,-1061.529047671443,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.7255003,1730245123.5761764,3000
-1017.1384831832032,-187500.02235174447,-1021.787646029907,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245123.7286336,1730245123.5761764,3000
