Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-9415.918220987109,-47665.184457920135,6641.910271872315,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0520673,1730987094.0497618,3000
-9389.409052063114,-47713.73244687706,6644.0113358511135,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0559304,1730987094.0497618,3000
-9447.00949752444,-47747.34947053784,6635.115341557902,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.058849,1730987094.0497618,3000
-9446.271889957416,-47701.10371125981,6641.619699194396,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0630052,1730987094.0497618,3000
-9400.62962777968,-47684.406958151696,6642.357306761421,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0679033,1730987094.0497618,3000
-9411.269058140404,-47702.1095397603,6641.731457916672,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.071942,1730987094.0497618,3000
-9413.5712878193,-47762.86158118983,6638.848082881937,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0759451,1730987094.0497618,3000
-9432.34675316176,-47711.22905149806,6639.540986960053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0799935,1730987094.0497618,3000
-9445.780151579398,-47689.0561209984,6661.691565715261,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0840037,1730987094.0497618,3000
-9432.123235717208,-47750.36695603931,6661.065716870513,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.086994,1730987094.0497618,3000
-9430.737427560976,-47754.25615957453,6652.616757466407,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0911312,1730987094.0497618,3000
-9424.188366435572,-47738.766400667,6643.117266072902,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0959733,1730987094.0497618,3000
-9400.361406846216,-47719.007458568514,6632.433132223265,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.0999856,1730987094.0497618,3000
-9367.861970408198,-47793.41641586023,6643.161969561812,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1039865,1730987094.0497618,3000
-9368.845447164233,-47786.397968101264,6652.393240021854,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1080296,1730987094.0497618,3000
-9442.270927699916,-47744.73431643657,6642.491417228153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.11107,1730987094.0497618,3000
-9485.342739265292,-47733.53609246446,6625.302925742022,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1150627,1730987094.0497618,3000
-9439.901642787652,-47734.54192096495,6629.460350210709,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1190844,1730987094.0497618,3000
-9438.717000331522,-47765.007348657535,6638.825731137483,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1229928,1730987094.0497618,3000
-9445.310764945838,-47786.44267159017,6627.1581205318125,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1281424,1730987094.0497618,3000
-9427.071741470309,-47732.39615349724,6626.576975175974,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1320672,1730987094.0497618,3000
-9436.615936352722,-47738.29701403344,6632.433132223265,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1351187,1730987094.0497618,3000
-9442.092113744273,-47774.95387494015,6635.852949124926,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.139073,1730987094.0497618,3000
-9435.00661075194,-47823.50186389707,6642.960803861714,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1431108,1730987094.0497618,3000
-9423.33900014627,-47746.63421471527,6627.8063211210165,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1471834,1730987094.0497618,3000
-9415.851165753742,-47685.74806281902,6628.096893798936,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1511388,1730987094.0497618,3000
-9407.20104064954,-47738.74404892255,6624.565318174997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1560729,1730987094.0497618,3000
-9430.268040927416,-47824.82061681993,6624.744132130639,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.160192,1730987094.0497618,3000
-9435.38659040768,-47798.55731708495,6648.660498697817,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1631896,1730987094.0497618,3000
-9424.478939113493,-47742.9685286246,6639.071600326491,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1680949,1730987094.0497618,3000
-9426.647058325656,-47760.53699976648,6643.74311491765,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1720846,1730987094.0497618,3000
-9425.037732724872,-47838.87986408232,6644.972460862692,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1751027,1730987094.0497618,3000
-9406.351674360238,-47757.49716252055,6635.450617724731,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1791215,1730987094.0497618,3000
-9403.356540603228,-47722.9637173371,6626.241699009144,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.183103,1730987094.0497618,3000
-9399.71320625701,-47813.55533761446,6640.770332905095,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.187117,1730987094.0497618,3000
-9436.861805541732,-47863.06445158296,6647.073524841491,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1911223,1730987094.0497618,3000
-9447.76945683592,-47776.83142147439,6643.631356195374,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.1962664,1730987094.0497618,3000
-9462.320442476326,-47744.26492980301,6630.108550799912,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2001517,1730987094.0497618,3000
-9443.701439345055,-47749.897569405744,6633.394257234843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2031295,1730987094.0497618,3000
-9420.120348944709,-47805.50870961055,6632.500187456631,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2073495,1730987094.0497618,3000
-9435.923032274608,-47787.85083149085,6633.461312468209,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.211165,1730987094.0497618,3000
-9455.10082901726,-47734.69838317614,6639.116303815402,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2151446,1730987094.0497618,3000
-9422.444930368058,-47707.339847962845,6639.585690448963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2191424,1730987094.0497618,3000
-9384.581075260769,-47779.15600289774,6645.575957962985,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2231543,1730987094.0497618,3000
-9444.573157378813,-47807.788587544994,6631.337896744954,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2282543,1730987094.0497618,3000
-9458.6324046412,-47721.9131853477,6637.55168170353,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.2311833,1730987094.0497618,3000
-9413.034845952374,-47716.548766678425,6647.207635308223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987094.235264,1730987094.0497618,3000
