Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
29296.073829659683,-92433.7169448992,23078.489074526915,-185588.67997988223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.6730442,1730654134.6711574,3000
29297.83961747165,-92440.13189555788,23077.706763470986,-185599.47587245415,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.6773152,1730654134.6711574,3000
29294.33039359217,-92431.70528789822,23080.88071118364,-185592.546831673,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.6824484,1730654134.6711574,3000
29295.470332559387,-92430.54299718657,23075.672754725547,-185593.5079566846,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.686345,1730654134.6711574,3000
29294.62096627009,-92413.44391267824,23076.343307059207,-185577.9064390548,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.690254,1730654134.6711574,3000
29301.482951817867,-92440.824799636,23077.013859392868,-185605.801416135,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.6931148,1730654134.6711574,3000
29317.50915259232,-92447.73148867268,23078.01968789336,-185615.34561101743,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.6971416,1730654134.6711574,3000
29319.341995637657,-92457.25333181064,23078.01968789336,-185627.97434663467,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7012644,1730654134.6711574,3000
29303.338146607657,-92412.48278766664,23083.85349319619,-185585.327218214,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7053063,1730654134.6711574,3000
29292.542254035743,-92425.78207561756,23088.14502813161,-185599.8558521099,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7113693,1730654134.6711574,3000
29285.166178365493,-92430.69945939771,23079.71842047196,-185606.5837271909,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7141404,1730654134.6711574,3000
29302.108800662616,-92428.93367158576,23075.404533792083,-185607.34368650243,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7184005,1730654134.6711574,3000
29318.313815392718,-92422.94340407176,23075.248071580896,-185604.1026835564,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.721242,1730654134.6711574,3000
29295.80560872622,-92425.1562267728,23079.83017919424,-185611.54581446003,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7255957,1730654134.6711574,3000
29308.635510043565,-92448.0667648395,23088.70382174299,-185638.4126112953,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7297437,1730654134.6711574,3000
29316.436268858462,-92449.13964857336,23081.32774607274,-185643.39705030885,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7339213,1730654134.6711574,3000
29338.072757491205,-92431.30295649802,23074.242243080407,-185628.5107885016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7383249,1730654134.6711574,3000
29331.38958589907,-92438.567273446,23073.392876791106,-185638.4126112953,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.742457,1730654134.6711574,3000
29301.32648960668,-92436.73443040068,23087.027440908845,-185639.50784677363,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.746454,1730654134.6711574,3000
29271.196338080925,-92403.31857243998,23096.079897413245,-185608.1707010473,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7494197,1730654134.6711574,3000
29271.37515203657,-92407.74421784212,23087.09449614221,-185615.814997651,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7534733,1730654134.6711574,3000
29314.78223976877,-92427.30199424052,23079.15962686057,-185640.80424795204,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7574344,1730654134.6711574,3000
29366.973563071915,-92439.70721241322,23077.90792917108,-185657.79157373807,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7614825,1730654134.6711574,3000
29338.631551102582,-92460.60609347894,23097.465705569477,-185681.79734728305,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7653065,1730654134.6711574,3000
29240.015654565774,-92486.46706181372,23100.594949793216,-185713.42506568733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7704964,1730654134.6711574,3000
29219.519104900257,-92466.30578831505,23085.015783907867,-185699.76814982516,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7744312,1730654134.6711574,3000
29288.47423654488,-92426.13970352884,23124.57837159376,-185664.09476567447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7775695,1730654134.6711574,3000
29334.87645803409,-92429.98420357516,23085.976908919445,-185673.2813326456,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7812471,1730654134.6711574,3000
29299.001908183327,-92454.25819805363,23084.61345250767,-185702.36095218197,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.7855053,1730654134.6711574,3000
29258.679361185958,-92456.2698550546,23068.028458121837,-185707.4795016622,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.789384,1730654134.6711574,3000
29310.60246355563,-92443.46230548172,23079.494903027404,-185698.4941003912,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.793538,1730654134.6711574,3000
29289.413009812,-92458.79560217806,23079.316089071763,-185717.49308317815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.798364,1730654134.6711574,3000
29231.678453883946,-92487.71875950324,23072.96819364645,-185747.77969691512,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8015137,1730654134.6711574,3000
29276.337239305645,-92482.5331547896,23106.942845218524,-185745.36570851397,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8052626,1730654134.6711574,3000
29300.52182680629,-92463.04243362456,23102.137220160632,-185728.22192051672,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8095193,1730654134.6711574,3000
29296.923195948984,-92471.67020698432,23100.61730153767,-185736.87204562093,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8135464,1730654134.6711574,3000
29266.703637445407,-92494.96072470676,23086.625109508648,-185760.31902555452,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.817599,1730654134.6711574,3000
29292.67636450248,-92472.65368374034,23082.37827806214,-185739.35308925548,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8215945,1730654134.6711574,3000
29277.83480618415,-92486.75763449165,23101.75724050489,-185755.6251592189,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8266172,1730654134.6711574,3000
29305.88624547556,-92491.49620431616,23108.552170819305,-185763.20240058927,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8295832,1730654134.6711574,3000
29359.3292664682,-92502.582669566,23100.952577704506,-185777.52986878515,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8335984,1730654134.6711574,3000
29295.336222092657,-92501.37567536542,23102.941882961022,-185781.352017087,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8375711,1730654134.6711574,3000
29245.31301800168,-92485.46123331324,23091.877769455645,-185770.80199370408,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8416264,1730654134.6711574,3000
29336.731652823884,-92475.06767214152,23063.692219697503,-185763.60473198947,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.845413,1730654134.6711574,3000
29345.04650176126,-92467.4233755378,23094.04588866781,-185758.88851390945,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8495555,1730654134.6711574,3000
29299.47129481689,-92477.74988147616,23088.70382174299,-185771.94193267133,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8545792,1730654134.6711574,3000
29309.4178210995,-92463.8247446805,23089.016746165365,-185760.9001709104,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8573864,1730654134.6711574,3000
29279.5111870183,-92467.95981740471,23128.042891984333,-185767.8962669249,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8605072,1730654134.6711574,3000
29173.76508400024,-92484.12012864593,23112.039042954333,-185789.353941602,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654134.8654544,1730654134.6711574,3000
