Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
24133.35730235068,-104923.5141186135,26560.712046708115,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.1960723,1730656046.1957345,4000
24140.174584409546,-104937.30514494242,26567.126997366788,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.1999812,1730656046.1957345,4000
24143.504994333387,-104985.8307821549,26564.35538105433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2041905,1730656046.1957345,4000
24144.935505978527,-104951.90083407174,26553.715950693604,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2092164,1730656046.1957345,4000
24141.53804082132,-104949.5762526484,26567.21640434461,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2139993,1730656046.1957345,4000
24139.50403207589,-104935.56170887491,26568.110474122823,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2169545,1730656046.1957345,4000
24129.02106392635,-104969.98339533608,26558.141596095757,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2211986,1730656046.1957345,4000
24118.22517135444,-104915.75806328752,26549.424415758185,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2239568,1730656046.1957345,4000
24126.24944761389,-104926.39749364824,26575.128921881787,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2279828,1730656046.1957345,4000
24131.81503198326,-104999.040663128,26588.98700344408,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2320385,1730656046.1957345,4000
24129.78102323783,-104942.75897058952,26579.19693937265,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.236146,1730656046.1957345,4000
24155.954915994997,-104941.23905196656,26559.3709420408,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.241038,1730656046.1957345,4000
24174.372753426167,-104980.46636348564,26560.60028798584,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.245106,1730656046.1957345,4000
24156.29019216182,-104920.22841217858,26592.78680000148,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2480865,1730656046.1957345,4000
24131.904438961083,-104971.65977617024,26525.217476513088,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2521846,1730656046.1957345,4000
24192.477666434967,-104993.1398025918,26537.39917724123,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2560952,1730656046.1957345,4000
24182.35232619671,-104965.44599121166,26614.17741944521,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2600465,1730656046.1957345,4000
24124.349549335187,-104993.76565143654,26589.59050054437,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2640953,1730656046.1957345,4000
24078.327307501717,-104945.41882817973,26545.736377923055,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.269038,1730656046.1957345,4000
24076.13683654509,-104952.1690550052,26543.702369177627,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2732315,1730656046.1957345,4000
24135.16779365156,-104944.36829619033,26558.67803796268,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.27721,1730656046.1957345,4000
24227.905181396625,-104991.77634618,26579.398105072756,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2801375,1730656046.1957345,4000
24201.418364217086,-104995.35262529286,26604.36500362933,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2842293,1730656046.1957345,4000
24110.91615091755,-104967.0776685569,26585.20955863113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2882376,1730656046.1957345,4000
24079.511949957843,-104979.14761056277,26563.975401398588,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.2921743,1730656046.1957345,4000
24034.89786802505,-104965.24482551156,26496.58489186584,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.296144,1730656046.1957345,4000
24038.63060934909,-104945.2176624796,26521.44003170014,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.301264,1730656046.1957345,4000
24117.219342853947,-104982.54507571996,26592.362116856828,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730656046.3042629,1730656046.1957345,4000
