Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-28350.28211477782,-187500.02235174447,1036.9421287706052,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.318125,1730328779.31433,4000
-28323.92940806501,-187500.02235174447,1010.1870906576028,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.321934,1730328779.31433,4000
-28376.81363544627,-187500.02235174447,932.4700751865,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3251517,1730328779.31433,4000
-28413.24697890842,-187500.02235174447,948.9656625945166,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3291128,1730328779.31433,4000
-28365.682466707527,-187500.02235174447,1024.1569309421695,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3329904,1730328779.31433,4000
-28314.36286143814,-187500.02235174447,1027.1297129547254,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.33699,1730328779.31433,4000
-28358.8428329042,-187500.02235174447,950.2397120284692,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.340912,1730328779.31433,4000
-28414.14104868663,-187500.02235174447,941.0084415684272,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.346132,1730328779.31433,4000
-28378.57942325824,-187500.02235174447,1012.2881546364016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3500693,1730328779.31433,4000
-28317.693271361983,-187500.02235174447,1025.0062972314713,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3531177,1730328779.31433,4000
-28347.443443231998,-187500.02235174447,953.2795492743908,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3570282,1730328779.31433,4000
-28403.389859603627,-187500.02235174447,935.2640432434134,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.361069,1730328779.31433,4000
-28381.418094804063,-187500.02235174447,1006.6555150336642,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.365108,1730328779.31433,4000
-28330.94785582398,-187500.02235174447,1037.2550531929796,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3691344,1730328779.31433,4000
-28344.60477168617,-187500.02235174447,973.664340217631,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3741257,1730328779.31433,4000
-28408.28489163934,-187500.02235174447,927.5973948952432,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3791397,1730328779.31433,4000
-28392.839836220723,-187500.02235174447,994.0044276719605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3821309,1730328779.31433,4000
-28314.45226841596,-187500.02235174447,1054.175323745647,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.385153,1730328779.31433,4000
-28310.76423058084,-187500.02235174447,1006.34259061129,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3900871,1730328779.31433,4000
-28380.0993418812,-187500.02235174447,946.6857846600752,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.3931465,1730328779.31433,4000
-28391.342269342214,-187500.02235174447,988.1035671357594,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.39701,1730328779.31433,4000
-28329.36088196765,-187500.02235174447,1047.4250969201444,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.401174,1730328779.31433,4000
-28318.45323067346,-187500.02235174447,1017.563166327854,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4050064,1730328779.31433,4000
-28384.79320821681,-187500.02235174447,949.3679939947122,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.409165,1730328779.31433,4000
-28410.542417829325,-187500.02235174447,970.4233372716114,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.413198,1730328779.31433,4000
-28349.52215546634,-187500.02235174447,1040.272538694446,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4182084,1730328779.31433,4000
-28317.067422517237,-187500.02235174447,1024.9392419981054,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4210582,1730328779.31433,4000
-28372.34328655521,-187500.02235174447,945.0094038259272,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.425177,1730328779.31433,4000
-28403.121638670164,-187500.02235174447,954.1065638192372,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.429218,1730328779.31433,4000
-28379.62995524764,-187500.02235174447,1023.4193233751444,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.433221,1730328779.31433,4000
-28334.79235587029,-187500.02235174447,1026.6379745767088,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4372065,1730328779.31433,4000
-28368.543489997806,-187500.02235174447,955.7382411644747,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.441259,1730328779.31433,4000
-28420.86892376768,-187500.02235174447,940.695517146053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4461756,1730328779.31433,4000
-28391.208158875485,-187500.02235174447,1008.600116801276,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4492798,1730328779.31433,4000
-28339.709739650458,-187500.02235174447,1017.9878494725048,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4522564,1730328779.31433,4000
-28364.497824251397,-187500.02235174447,953.8830463746842,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.457266,1730328779.31433,4000
-28423.57348484677,-187500.02235174447,937.9015490891396,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4612832,1730328779.31433,4000
-28408.217836405976,-187500.02235174447,1006.9684394560384,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4651551,1730328779.31433,4000
-28343.66599841905,-187500.02235174447,1044.7205358410522,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4691672,1730328779.31433,4000
-28361.05565560528,-187500.02235174447,976.726529208008,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4743571,1730328779.31433,4000
-28425.696900570027,-187500.02235174447,928.5138164179108,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.477384,1730328779.31433,4000
-28419.706633056,-187500.02235174447,988.371788069223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.481118,1730328779.31433,4000
-28359.33457128222,-187500.02235174447,1032.1812072016248,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4853532,1730328779.31433,4000
-28338.14511753859,-187500.02235174447,994.0044276719605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4891553,1730328779.31433,4000
-28393.577443787748,-187500.02235174447,949.2115317835252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.493326,1730328779.31433,4000
-28413.515199841884,-187500.02235174447,992.2609916044464,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.4971611,1730328779.31433,4000
-28356.98763811441,-187500.02235174447,1053.3930126897112,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.501362,1730328779.31433,4000
-28325.628140643614,-187500.02235174447,1017.9654977280496,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.5043497,1730328779.31433,4000
-28383.027420404844,-187500.02235174447,942.9083398471284,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.5083475,1730328779.31433,4000
-28396.550225800303,-187500.02235174447,967.2493895589578,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.5131917,1730328779.31433,4000
-28324.890533076592,-187500.02235174447,1044.273500951946,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.5174172,1730328779.31433,4000
-28329.00325405637,-187500.02235174447,1025.6097943317643,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730328779.521466,1730328779.31433,4000
