Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-7095.360111637129,-187500.02235174447,9246.268480571329,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2106924,1731451723.2079215,4000
-7104.658437330537,-187500.02235174447,9237.707762444945,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2159903,1731451723.2079215,4000
-7159.889597879601,-187500.02235174447,9213.433767966482,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.219829,1731451723.2079215,4000
-7160.22487404643,-187500.02235174447,9218.261744768828,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.223114,1731451723.2079215,4000
-7107.251239687353,-187500.02235174447,9241.105227602153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2268217,1731451723.2079215,4000
-7101.730358806892,-187500.02235174447,9239.674715957011,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2309928,1731451723.2079215,4000
-7155.374545499629,-187500.02235174447,9218.172337791008,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2347872,1731451723.2079215,4000
-7172.071298607743,-187500.02235174447,9216.071273812207,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.238829,1731451723.2079215,4000
-7121.131672994098,-187500.02235174447,9237.752465933856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2437916,1731451723.2079215,4000
-7099.383425639085,-187500.02235174447,9243.094532858677,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2478385,1731451723.2079215,4000
-7148.51255995185,-187500.02235174447,9222.39681749306,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2511468,1731451723.2079215,4000
-7177.6368829771145,-187500.02235174447,9214.439596466971,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2548623,1731451723.2079215,4000
-7131.592289399182,-187500.02235174447,9234.332649032194,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2590294,1731451723.2079215,4000
-7095.829498270691,-187500.02235174447,9244.770913692822,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2630036,1731451723.2079215,4000
-7140.4212284590285,-187500.02235174447,9228.096512329164,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.267002,1731451723.2079215,4000
-7175.491115509405,-187500.02235174447,9218.753483146846,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.271008,1731451723.2079215,4000
-7138.141350524587,-187500.02235174447,9238.333611289694,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.27593,1731451723.2079215,4000
-7096.701216304447,-187500.02235174447,9252.59402425218,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.278876,1731451723.2079215,4000
-7128.440693430984,-187500.02235174447,9233.30446878725,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2829912,1731451723.2079215,4000
-7174.641749220104,-187500.02235174447,9217.05475056824,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.2870555,1731451723.2079215,4000
-7153.720516409936,-187500.02235174447,9228.901175129557,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.290952,1731451723.2079215,4000
-7103.3843878965845,-187500.02235174447,9248.458951527948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.295048,1731451723.2079215,4000
-7121.534004394294,-187500.02235174447,9235.114960088127,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.29903,1731451723.2079215,4000
-7175.446412020495,-187500.02235174447,9212.740863888368,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3030632,1731451723.2079215,4000
-7162.772972914336,-187500.02235174447,9222.39681749306,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3060267,1731451723.2079215,4000
-7105.999541997856,-187500.02235174447,9244.681506715002,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3109844,1731451723.2079215,4000
-7108.681751332492,-187500.02235174447,9240.948765390964,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3151364,1731451723.2079215,4000
-7156.827408889224,-187500.02235174447,9224.8778611276,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3190029,1731451723.2079215,4000
-7156.447429233484,-187500.02235174447,9229.81759665222,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.323156,1731451723.2079215,4000
-7107.385350154084,-187500.02235174447,9250.962346906945,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3269553,1731451723.2079215,4000
-7102.35620765164,-187500.02235174447,9250.627070740113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.331242,1731451723.2079215,4000
-7152.021783831333,-187500.02235174447,9227.73888441788,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3342104,1731451723.2079215,4000
-7168.584426472715,-187500.02235174447,9221.972134348409,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.338272,1731451723.2079215,4000
-7120.975210782911,-187500.02235174447,9239.607660723646,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.343046,1731451723.2079215,4000
-7098.936390749978,-187500.02235174447,9244.033306125795,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3472297,1731451723.2079215,4000
-7143.617527916137,-187500.02235174447,9226.084855328185,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3509874,1731451723.2079215,4000
-7169.187923573008,-187500.02235174447,9221.748616903857,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3572507,1731451723.2079215,4000
-7126.473739918917,-187500.02235174447,9240.524082246317,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3600073,1731451723.2079215,4000
-7094.734262792381,-187500.02235174447,9247.900157916563,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3632226,1731451723.2079215,4000
-7131.860510332645,-187500.02235174447,9227.805939651244,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.367211,1731451723.2079215,4000
-7174.150010842087,-187500.02235174447,9211.44446270996,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.371331,1731451723.2079215,4000
-7139.79537961428,-187500.02235174447,9231.203404808452,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3752563,1731451723.2079215,4000
-7093.348454636152,-187500.02235174447,9248.727172461411,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3793497,1731451723.2079215,4000
-7120.237603215886,-187500.02235174447,9233.796207165267,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731451723.3832965,1731451723.2079215,4000
