Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-1107.7971586939286,-187500.02235174447,6149.166065355071,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9743104,1730330163.973121,4000
-1038.573806115843,-187500.02235174447,6162.353594583702,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.978403,1730330163.973121,4000
-1072.59316117682,-187500.02235174447,6186.247609406425,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9836557,1730330163.973121,4000
-1147.0021184685372,-187500.02235174447,6175.31760636778,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9875476,1730330163.973121,4000
-1124.3374495908558,-187500.02235174447,6147.489684520922,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9903953,1730330163.973121,4000
-1048.9450155431052,-187500.02235174447,6154.061097390783,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9945333,1730330163.973121,4000
-1060.5679226598647,-187500.02235174447,6184.504173338911,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330163.9983456,1730330163.973121,4000
-1137.5696823083977,-187500.02235174447,6179.36327211419,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0023413,1730330163.973121,4000
-1138.1955311531462,-187500.02235174447,6145.679193220043,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0063572,1730330163.973121,4000
-1058.4445069366109,-187500.02235174447,6144.472199019457,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0113628,1730330163.973121,4000
-1048.20740797608,-187500.02235174447,6173.641225533632,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0153503,1730330163.973121,4000
-1120.4258943111772,-187500.02235174447,6182.246647148925,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0185776,1730330163.973121,4000
-1137.7037927751294,-187500.02235174447,6152.138847367626,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0224776,1730330163.973121,4000
-1061.6408063937197,-187500.02235174447,6142.25937631838,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.0266032,1730330163.973121,4000
-1035.8692450367505,-187500.02235174447,6166.421612074568,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.030589,1730330163.973121,4000
-1108.2888970719457,-187500.02235174447,6176.03286219035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330164.034412,1730330163.973121,4000
