Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-468.3361015720489,-187500.02235174447,-63.5907129753486,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8147628,1730245509.8124063,4000
-466.34679631552655,-187500.02235174447,-58.91919838418941,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8189464,1730245509.8124063,4000
-475.8462877090321,-187500.02235174447,-87.77530047599083,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8229604,1730245509.8124063,4000
-480.2942848556382,-187500.02235174447,-101.52162331600468,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8279407,1730245509.8124063,4000
-449.85120890750994,-187500.02235174447,-65.8482391653346,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8317635,1730245509.8124063,4000
-438.8988541244095,-187500.02235174447,-40.836637119846,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8359034,1730245509.8124063,4000
-466.03387189315225,-187500.02235174447,-76.08533812586523,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8388147,1730245509.8124063,4000
-476.69565399833374,-187500.02235174447,-105.74610301805772,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8439715,1730245509.8124063,4000
-438.2506535352056,-187500.02235174447,-71.41382353470607,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8478167,1730245509.8124063,4000
-446.2972815391161,-187500.02235174447,-42.04363132043258,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8508384,1730245509.8124063,4000
-469.11841262798464,-187500.02235174447,-68.6645589667033,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8558428,1730245509.8124063,4000
-477.8132412210991,-187500.02235174447,-103.91325997272251,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.859831,1730245509.8124063,4000
-444.0174036046748,-187500.02235174447,-88.89288769875618,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.863909,1730245509.8124063,4000
-444.5091419826916,-187500.02235174447,-48.413878490195096,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.866953,1730245509.8124063,4000
-471.7559184737109,-187500.02235174447,-64.97652113157763,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8708844,1730245509.8124063,4000
-480.0707674110851,-187500.02235174447,-104.18148090618622,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8749883,1730245509.8124063,4000
-469.14076437244,-187500.02235174447,-95.03961742396564,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8788369,1730245509.8124063,4000
-461.13883985744,-187500.02235174447,-63.054271108421226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8830516,1730245509.8124063,4000
-476.02510166467454,-187500.02235174447,-79.88513468326744,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.887862,1730245509.8124063,4000
-488.43031983737,-187500.02235174447,-113.2786408994962,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8919742,1730245509.8124063,4000
-478.975531932775,-187500.02235174447,-112.3398676323733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.8951042,1730245509.8124063,4000
-449.0912495960295,-187500.02235174447,-69.9386084006558,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.899106,1730245509.8124063,4000
-459.5295142566579,-187500.02235174447,-63.68011995316982,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9039454,1730245509.8124063,4000
-478.684959254856,-187500.02235174447,-113.3233443884068,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.908069,1730245509.8124063,4000
-488.78794774865486,-187500.02235174447,-118.7101148021358,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9110904,1730245509.8124063,4000
-453.38278453144846,-187500.02235174447,-84.06491089640986,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.916083,1730245509.8124063,4000
-463.7986974476216,-187500.02235174447,-66.80936417691281,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9190695,1730245509.8124063,4000
-503.7859682781659,-187500.02235174447,-100.58285004888178,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9241056,1730245509.8124063,4000
-500.4555583543252,-187500.02235174447,-113.97154497761072,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.926988,1730245509.8124063,4000
-478.3049795991158,-187500.02235174447,-72.41965203519489,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.932078,1730245509.8124063,4000
-465.34096781503774,-187500.02235174447,-55.7005471826252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9350815,1730245509.8124063,4000
-494.50999432921344,-187500.02235174447,-83.90844868522271,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9392312,1730245509.8124063,4000
-507.9657444913083,-187500.02235174447,-103.8462047393566,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9441917,1730245509.8124063,4000
-469.4760405392696,-187500.02235174447,-79.90748642772274,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9471128,1730245509.8124063,4000
-460.87061892397634,-187500.02235174447,-49.263244779496766,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9501207,1730245509.8124063,4000
-481.0989476560292,-187500.02235174447,-68.15046884423123,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.955092,1730245509.8124063,4000
-496.38754086345926,-187500.02235174447,-110.05998969793198,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9591324,1730245509.8124063,4000
-469.4760405392696,-187500.02235174447,-98.88411747027844,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9630313,1730245509.8124063,4000
-448.8677321514765,-187500.02235174447,-59.12036408428718,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.967141,1730245509.8124063,4000
-472.7393952297444,-187500.02235174447,-61.95903563011118,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9721427,1730245509.8124063,4000
-488.5867820485571,-187500.02235174447,-105.58964080687056,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.975146,1730245509.8124063,4000
-466.8608864379986,-187500.02235174447,-102.8403762388678,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.978006,1730245509.8124063,4000
-431.7462958987112,-187500.02235174447,-62.67429145268101,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.983218,1730245509.8124063,4000
-438.4071157463927,-187500.02235174447,-66.74230894354689,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9871106,1730245509.8124063,4000
-474.9969214197304,-187500.02235174447,-108.98710596407724,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.9911752,1730245509.8124063,4000
-478.10381389901806,-187500.02235174447,-109.97058272011076,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730245509.995242,1730245509.8124063,4000
