Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
3115.6767148586173,-187500.02235174447,24533.23001065612,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1207411,1730410040.117522,4000
3106.914831032137,-187500.02235174447,24512.04055691249,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.124886,1730410040.117522,4000
3035.992745875448,-187500.02235174447,24456.18354751868,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1288033,1730410040.117522,4000
3043.8382081792606,-187500.02235174447,24471.963879104125,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.132887,1730410040.117522,4000
3128.104284775768,-187500.02235174447,24543.17653693873,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1377125,1730410040.117522,4000
3140.5989099262847,-187500.02235174447,24517.874362215327,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1406865,1730410040.117522,4000
3026.6050132042187,-187500.02235174447,24425.271084936987,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1447124,1730410040.117522,4000
2995.7149023669845,-187500.02235174447,24437.63159962077,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.148733,1730410040.117522,4000
3093.257915169944,-187500.02235174447,24526.70330127517,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1527288,1730410040.117522,4000
3106.1995752095672,-187500.02235174447,24523.86462972935,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1568463,1730410040.117522,4000
3041.558330244819,-187500.02235174447,24453.009599806024,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1607056,1730410040.117522,4000
3023.900452125127,-187500.02235174447,24456.474120196595,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1639278,1730410040.117522,4000
3092.185031436089,-187500.02235174447,24515.460373814152,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1679611,1730410040.117522,4000
3109.4852816444973,-187500.02235174447,24528.67025478724,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.171888,1730410040.117522,4000
3028.2590422939115,-187500.02235174447,24441.923134556197,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1767972,1730410040.117522,4000
2993.2562104769004,-187500.02235174447,24415.72689005457,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1809115,1730410040.117522,4000
3071.8896474706708,-187500.02235174447,24495.880245671306,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1848843,1730410040.117522,4000
3137.8943488471928,-187500.02235174447,24551.513737620564,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1888788,1730410040.117522,4000
3075.08594692778,-187500.02235174447,24480.0775623414,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1919208,1730410040.117522,4000
3000.2970099803224,-187500.02235174447,24416.799773788425,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1959417,1730410040.117522,4000
3046.967452403004,-187500.02235174447,24463.067884810916,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.1999393,1730410040.117522,4000
3130.384162710209,-187500.02235174447,24535.420481612746,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2049563,1730410040.117522,4000
3099.4493483840643,-187500.02235174447,24503.99392890858,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2089608,1730410040.117522,4000
3024.50394922542,-187500.02235174447,24433.87650655228,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.212969,1730410040.117522,4000
3048.4426675370537,-187500.02235174447,24473.05911458244,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.216972,1730410040.117522,4000
3106.8701275432263,-187500.02235174447,24512.12996389031,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2198553,1730410040.117522,4000
3088.653455812151,-187500.02235174447,24482.55860597594,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2240195,1730410040.117522,4000
3009.818853118283,-187500.02235174447,24422.25359943552,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2278087,1730410040.117522,4000
3035.344545286244,-187500.02235174447,24455.89297484076,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2320025,1730410040.117522,4000
3119.007124782458,-187500.02235174447,24552.027827743037,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2370143,1730410040.117522,4000
3113.732113091006,-187500.02235174447,24528.312626875955,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2410069,1730410040.117522,4000
3039.881949410671,-187500.02235174447,24452.428454450182,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2448783,1730410040.117522,4000
3037.60207147623,-187500.02235174447,24461.190338276665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.24803,1730410040.117522,4000
3108.3453426772767,-187500.02235174447,24531.933609477717,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2520435,1730410040.117522,4000
3117.084874759302,-187500.02235174447,24519.215466882644,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2559552,1730410040.117522,4000
3035.590414475252,-187500.02235174447,24441.252582222533,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2600691,1730410040.117522,4000
3000.900507080616,-187500.02235174447,24418.610265089308,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2649565,1730410040.117522,4000
3066.301711356844,-187500.02235174447,24498.920082917222,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2690277,1730410040.117522,4000
3117.33074394831,-187500.02235174447,24532.78297576701,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2721083,1730410040.117522,4000
3057.2939583413554,-187500.02235174447,24460.653896409734,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2759929,1730410040.117522,4000
3022.1570160576125,-187500.02235174447,24445.49941366904,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2799616,1730410040.117522,4000
3080.2268481525,-187500.02235174447,24508.46427779964,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2840128,1730410040.117522,4000
3125.6455928856844,-187500.02235174447,24533.878211245326,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2881112,1730410040.117522,4000
3063.08306015528,-187500.02235174447,24464.721913900605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2931297,1730410040.117522,4000
3012.322248497277,-187500.02235174447,24414.989282487542,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.2971463,1730410040.117522,4000
3049.5826065042743,-187500.02235174447,24468.722876158103,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.300142,1730410040.117522,4000
3126.6737731306284,-187500.02235174447,24538.370911880844,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3040867,1730410040.117522,4000
3092.430900625098,-187500.02235174447,24503.8821701863,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3081756,1730410040.117522,4000
3022.246423035434,-187500.02235174447,24446.572297402898,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3119695,1730410040.117522,4000
3047.950929159037,-187500.02235174447,24479.16114081873,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3161862,1730410040.117522,4000
3110.960496778548,-187500.02235174447,24529.43021409872,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3210883,1730410040.117522,4000
3091.045092468869,-187500.02235174447,24490.918158402223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3252103,1730410040.117522,4000
3012.478710708465,-187500.02235174447,24413.3129016534,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.327989,1730410040.117522,4000
3016.5690799437857,-187500.02235174447,24438.190393232155,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.332107,1730410040.117522,4000
3111.407531667653,-187500.02235174447,24538.974408981136,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.336116,1730410040.117522,4000
3114.0003340244693,-187500.02235174447,24515.639187769797,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3402112,1730410040.117522,4000
3043.5476355013416,-187500.02235174447,24437.45278566513,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.344012,1730410040.117522,4000
3005.1920420160345,-187500.02235174447,24431.820146062397,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3480773,1730410040.117522,4000
3065.1170689007126,-187500.02235174447,24499.031841639506,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.353022,1730410040.117522,4000
3113.776816579916,-187500.02235174447,24524.13285066281,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3560605,1730410040.117522,4000
3076.4717550840087,-187500.02235174447,24495.07558287091,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3600168,1730410040.117522,4000
3032.88585339616,-187500.02235174447,24463.738437144573,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3641608,1730410040.117522,4000
3081.3220836308105,-187500.02235174447,24508.777202222016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3681304,1730410040.117522,4000
3110.4240549116203,-187500.02235174447,24518.58961803789,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3721828,1730410040.117522,4000
3055.5505222738416,-187500.02235174447,24464.83367262288,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.377122,1730410040.117522,4000
3014.579774687264,-187500.02235174447,24441.565506644907,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.380183,1730410040.117522,4000
3075.46592658352,-187500.02235174447,24495.567321248927,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3831697,1730410040.117522,4000
3125.9808690525138,-187500.02235174447,24542.23776367161,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.3882596,1730410040.117522,4000
3054.6788042400844,-187500.02235174447,24479.585823963385,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.392132,1730410040.117522,4000
2983.175573727557,-187500.02235174447,24420.800736045927,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.396516,1730410040.117522,4000
3045.156961102124,-187500.02235174447,24487.498341500563,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4003932,1730410040.117522,4000
3114.492072402486,-187500.02235174447,24550.798481797992,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4054546,1730410040.117522,4000
3078.192839407068,-187500.02235174447,24502.60812075235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4082012,1730410040.117522,4000
3012.478710708465,-187500.02235174447,24453.277820739488,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.411164,1730410040.117522,4000
3038.4067342766207,-187500.02235174447,24482.715068187128,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4163134,1730410040.117522,4000
3106.4677961430307,-187500.02235174447,24545.255249173075,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.420154,1730410040.117522,4000
3106.914831032137,-187500.02235174447,24533.006493211567,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4242392,1730410040.117522,4000
3026.381495759665,-187500.02235174447,24455.96003007413,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.428196,1730410040.117522,4000
3024.7498184144283,-187500.02235174447,24471.65095468175,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4322789,1730410040.117522,4000
3101.058673984847,-187500.02235174447,24540.87430725984,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4361715,1730410040.117522,4000
3113.732113091006,-187500.02235174447,24537.56624908045,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4391909,1730410040.117522,4000
3049.694365226551,-187500.02235174447,24466.353591245843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4441943,1730410040.117522,4000
3033.221129562989,-187500.02235174447,24452.02612304999,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4482732,1730410040.117522,4000
3086.530040088897,-187500.02235174447,24506.43026905421,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4522169,1730410040.117522,4000
3089.3240081458102,-187500.02235174447,24515.81800172544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4562008,1730410040.117522,4000
3056.5787025187856,-187500.02235174447,24480.681059441693,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4601865,1730410040.117522,4000
3032.7070394405177,-187500.02235174447,24461.7267801436,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4642837,1730410040.117522,4000
3083.557258076341,-187500.02235174447,24519.103708160368,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4672818,1730410040.117522,4000
3099.605810595252,-187500.02235174447,24526.68094953072,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730410040.4723284,1730410040.117522,4000
