Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-6670.3640425639205,-60847.72924753777,4837.409238506465,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.186045,1730987736.183547,4000
-6649.666327198306,-60783.40092699539,4841.968994375347,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.1910627,1730987736.183547,4000
-6673.493286787664,-60730.1367199584,4849.680346212429,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.1950724,1730987736.183547,4000
-6741.375534698432,-60748.93453704531,4830.837825636605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.1990657,1730987736.183547,4000
-6733.775941583627,-60833.17826189736,4841.544311230697,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2030609,1730987736.183547,4000
-6717.3250576645205,-60851.17141618388,4840.2926135412,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.207082,1730987736.183547,4000
-6699.42131035582,-60744.95592653226,4829.854348880572,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2110631,1730987736.183547,4000
-6689.497135817664,-60713.21644940573,4829.720238413839,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2140903,1730987736.183547,4000
-6703.869307502426,-60807.67492147385,4843.086581598113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2191224,1730987736.183547,4000
-6693.811022497538,-60867.64465184745,4849.948567145892,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2232485,1730987736.183547,4000
-6690.525316062608,-60781.23280778323,4841.678421697428,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2271514,1730987736.183547,4000
-6683.484516559186,-60736.14933921687,4834.972898360837,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2312818,1730987736.183547,4000
-6700.203621411756,-60829.937258951344,4837.76686641775,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.236172,1730987736.183547,4000
-6690.011225940136,-60850.769084783686,4838.213901306856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2392468,1730987736.183547,4000
-6694.168650408823,-60772.71679314576,4842.86306415356,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2421875,1730987736.183547,4000
-6676.734289733683,-60753.047258025086,4840.024392607736,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2471788,1730987736.183547,4000
-6696.716749276728,-60815.6544942444,4847.981613633825,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2511945,1730987736.183547,4000
-6736.480502662719,-60887.06831777911,4844.204168820878,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2553449,1730987736.183547,4000
-6730.557290382063,-60792.31927303306,4836.023430350236,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.259245,1730987736.183547,4000
-6704.830432514004,-60795.29205504562,4837.878625140027,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2623737,1730987736.183547,4000
-6706.1715371813225,-60849.27151790518,4845.947604888393,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.266334,1730987736.183547,4000
-6701.142394678878,-60841.671924790375,4853.077811369635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.270228,1730987736.183547,4000
-6699.175441166812,-60820.705988491296,4849.233311323323,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.274316,1730987736.183547,4000
-6681.517563047119,-60795.2026480678,4837.498645484287,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2794728,1730987736.183547,4000
-6673.783859465583,-60821.93533443634,4831.418970992443,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2834811,1730987736.183547,4000
-6692.291103874577,-60870.8185995601,4841.074924597136,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2875144,1730987736.183547,4000
-6693.542801564075,-60821.354189080506,4849.7697531902495,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.290495,1730987736.183547,4000
-6686.70316776075,-60757.49525517169,4836.761037917261,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.294388,1730987736.183547,4000
-6692.045234685569,-60767.48648494321,4832.938889615404,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.2984896,1730987736.183547,4000
-6710.507775605653,-60865.364773913,4844.874721154538,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3034663,1730987736.183547,4000
-6745.421200444842,-60881.368622943,4841.030221108225,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3075013,1730987736.183547,4000
-6725.081112990512,-60802.64577897141,4840.627889708029,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.311519,1730987736.183547,4000
-6713.704075062761,-60828.529099050655,4848.160427589468,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3155067,1730987736.183547,4000
-6715.760435552649,-60886.15189625644,4846.059363610669,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3184898,1730987736.183547,4000
-6713.838185529493,-60857.966346498295,4841.410200763965,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.322543,1730987736.183547,4000
-6691.128813162901,-60821.37654082496,4836.448113494887,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3264728,1730987736.183547,4000
-6685.362063093432,-60816.146232622414,4845.791142677205,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3305771,1730987736.183547,4000
-6702.662313301839,-60901.88752435298,4847.065192111158,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3355443,1730987736.183547,4000
-6699.018978955624,-60881.27921596518,4848.182779333924,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730987736.3395913,1730987736.183547,4000
