Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
27685.45182769917,-87719.68933578602,26015.508295954263,-178799.53876728282,-187484.59964807032,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.2839873,1730654803.282301,4000
27691.75501963556,-87738.33069066175,26009.853304607077,-178822.69517453853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.2879865,1730654803.282301,4000
27679.30509797396,-87782.16246153861,26029.411081005463,-178873.9253728301,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.2920513,1730654803.282301,4000
27648.90672551474,-87765.42100494159,26034.21670606336,-178862.30246571332,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.2970316,1730654803.282301,4000
27641.664760311214,-87753.08284200226,26021.29739776819,-178853.1606022311,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3010368,1730654803.282301,4000
27667.168100734725,-87756.79323158185,26028.114679827057,-178861.65426512412,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3050444,1730654803.282301,4000
27667.279859457,-87803.10604609323,26023.890200125006,-178912.1245041042,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3090465,1730654803.282301,4000
27655.880469784795,-87781.0225225714,26023.018482091247,-178893.08081782828,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.312092,1730654803.282301,4000
27659.546155875465,-87769.17609801008,26021.342101257094,-178885.95061134704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.316036,1730654803.282301,4000
27664.28472569999,-87731.98279523644,26020.24686577879,-178853.8535063092,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3200724,1730654803.282301,4000
27677.919289817728,-87754.0663187583,26021.09623206809,-178879.71447464402,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3240747,1730654803.282301,4000
27680.534443919,-87785.17994704009,26024.046662336197,-178914.65025122766,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.329132,1730654803.282301,4000
27669.85031006936,-87786.87867961869,26028.271142038244,-178921.15460886416,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3331008,1730654803.282301,4000
27661.40135066525,-87783.1235865502,26025.700691425885,-178922.16043736466,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.33609,1730654803.282301,4000
27666.743417590074,-87759.83306882776,26017.072918066136,-178901.82034991033,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.34013,1730654803.282301,4000
27672.040781025986,-87769.08669103227,26021.967950101847,-178913.7785331939,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.344143,1730654803.282301,4000
27687.083505044404,-87799.14978732464,26026.661816437463,-178949.2507516445,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.348169,1730654803.282301,4000
27704.160237808257,-87795.81937740081,26024.516048969752,-178949.63073130022,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3522012,1730654803.282301,4000
27690.503321946064,-87801.09438909226,26035.110775841567,-178957.85617325976,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3571565,1730654803.282301,4000
27686.34589747738,-87788.55506045283,26037.882392154028,-178948.4460888441,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3611465,1730654803.282301,4000
27705.635452942308,-87802.94958388204,26030.81924090615,-178965.32165590784,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3641624,1730654803.282301,4000
27692.09029580239,-87782.3189237498,26034.10494734108,-178946.1438591652,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3681653,1730654803.282301,4000
27653.064149983427,-87792.3772087547,26018.794002389197,-178958.5937808268,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3721728,1730654803.282301,4000
27648.102062714348,-87790.09733082025,26018.68224366692,-178961.00776922796,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.376146,1730654803.282301,4000
27653.48883312808,-87808.53751999588,26026.70651992637,-178984.9464875396,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3802752,1730654803.282301,4000
27650.292533670967,-87818.37228755621,26043.179755589936,-178999.47512143556,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.385393,1730654803.282301,4000
27666.028161767503,-87811.3761915417,26030.14868857249,-178998.0446097904,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3893847,1730654803.282301,4000
27720.812287427463,-87789.4714819755,26031.86977289555,-178982.51014739397,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.392184,1730654803.282301,4000
27710.105801833368,-87798.14395882416,26027.15355481548,-178994.31186846638,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.3964071,1730654803.282301,4000
27656.774539563008,-87785.89520286265,26025.991264103803,-178983.985362528,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.400187,1730654803.282301,4000
27621.19056239016,-87784.77761563989,26031.601551962085,-178984.32063869486,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730654803.4044185,1730654803.282301,4000
