Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-21016.764165969395,-187500.02235174447,2476.2156577367377,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329071.9855404,1730329071.983646,5000
-20982.610700441684,-187500.02235174447,2533.2796613311366,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329071.9887705,1730329071.983646,5000
-20949.194842481,-187500.02235174447,2543.0473736581057,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329071.9938767,1730329071.983646,5000
-20980.889616118624,-187500.02235174447,2474.874553069419,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329071.9976668,1730329071.983646,5000
-21026.800099229826,-187500.02235174447,2441.3469363864588,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.0018213,1730329071.983646,5000
-21011.802078700315,-187500.02235174447,2503.842413883497,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.005684,1730329071.983646,5000
-20961.28713623132,-187500.02235174447,2540.8121992125757,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.0097473,1730329071.983646,5000
-20966.517444433863,-187500.02235174447,2490.520774188134,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.0136232,1730329071.983646,5000
-21013.63492174565,-187500.02235174447,2451.8969597693635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.0166247,1730329071.983646,5000
-21004.761279196893,-187500.02235174447,2497.203945780271,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.020671,1730329071.983646,5000
-20959.47664493044,-187500.02235174447,2545.751934737198,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.0257795,1730329071.983646,5000
-20962.181206009533,-187500.02235174447,2510.97262036474,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.029668,1730329071.983646,5000
-21010.2598083329,-187500.02235174447,2461.0835267404946,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.03381,1730329071.983646,5000
-21021.949770683023,-187500.02235174447,2486.273942741626,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329072.03782,1730329071.983646,5000
