Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-6556.928939453237,-187500.02235174447,8580.968806859113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.2953646,1731452001.2928247,5000
-6527.469340261143,-187500.02235174447,8595.832716921892,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.2995312,1731452001.2928247,5000
-6478.51901990402,-187500.02235174447,8612.37300781882,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3023298,1731452001.2928247,5000
-6501.80953762645,-187500.02235174447,8597.218525078122,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.306363,1731452001.2928247,5000
-6554.023212674048,-187500.02235174447,8577.526638212996,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.311314,1731452001.2928247,5000
-6532.319668807944,-187500.02235174447,8589.775394174505,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3153129,1731452001.2928247,5000
-6482.229409483602,-187500.02235174447,8606.114519371333,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.319327,1731452001.2928247,5000
-6495.081662545403,-187500.02235174447,8596.793841933471,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.322364,1731452001.2928247,5000
-6547.630613759829,-187500.02235174447,8572.050460821445,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3263786,1731452001.2928247,5000
-6546.244805603601,-187500.02235174447,8577.280769023988,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3303485,1731452001.2928247,5000
-6497.495650946576,-187500.02235174447,8601.1300803578,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3344092,1731452001.2928247,5000
-6492.935895077693,-187500.02235174447,8598.89490591227,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.339376,1731452001.2928247,5000
-6545.015459658559,-187500.02235174447,8578.420707991208,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3434076,1731452001.2928247,5000
-6549.776381227539,-187500.02235174447,8577.45958297963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452001.3473935,1731452001.2928247,5000
