Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-1890.04115939631,-187500.02235174447,8212.723816957929,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6611352,1730330451.6589448,5000
-1955.4647154169936,-187500.02235174447,8228.884128199117,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.664162,1730330451.6589448,5000
-1983.7173204085016,-187500.02235174447,8203.62665696462,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.66839,1730330451.6589448,5000
-1922.5182440898711,-187500.02235174447,8182.213685776435,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6721058,1730330451.6589448,5000
-1886.4648802834608,-187500.02235174447,8205.10187209867,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6763315,1730330451.6589448,5000
-1945.205264712008,-187500.02235174447,8227.408913065066,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6811512,1730330451.6589448,5000
-1993.0379978463648,-187500.02235174447,8201.190316818991,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6851747,1730330451.6589448,5000
-1937.71743031948,-187500.02235174447,8175.955197328949,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6891768,1730330451.6589448,5000
-1884.2520575823853,-187500.02235174447,8193.344854515179,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.692314,1730330451.6589448,5000
-1932.330659905751,-187500.02235174447,8219.854023439173,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.6961448,1730330451.6589448,5000
-1991.160451312119,-187500.02235174447,8204.364264531645,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.7001765,1730330451.6589448,5000
-1949.72031709198,-187500.02235174447,8176.71515664043,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.704333,1730330451.6589448,5000
-1885.391996549606,-187500.02235174447,8187.868677123628,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.708527,1730330451.6589448,5000
-1918.1373021766308,-187500.02235174447,8213.640238480597,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.7131765,1730330451.6589448,5000
-1989.1711460555969,-187500.02235174447,8203.134918586602,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.7173755,1730330451.6589448,5000
-1965.5677039107925,-187500.02235174447,8174.591740917175,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.720261,1730330451.6589448,5000
-1891.359912319173,-187500.02235174447,8181.789002631785,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.7244372,1730330451.6589448,5000
-1899.451243811994,-187500.02235174447,8219.138767616603,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330451.728487,1730330451.6589448,5000
