Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-3951.1178673646295,-187500.02235174447,17643.84122417465,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9205728,1730412142.9171937,5000
-3939.87493990361,-187500.02235174447,17651.150244611534,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9245312,1730412142.9171937,5000
-3954.291815077283,-187500.02235174447,17664.628346518082,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9275584,1730412142.9171937,5000
-3970.943864696487,-187500.02235174447,17662.415523817006,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9316216,1730412142.9171937,5000
-3951.4978470203696,-187500.02235174447,17654.72652372438,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9355764,1730412142.9171937,5000
-3949.1732655970177,-187500.02235174447,17651.932555667467,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9406147,1730412142.9171937,5000
-3962.718422736934,-187500.02235174447,17669.478675064885,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9446092,1730412142.9171937,5000
-3960.550303524769,-187500.02235174447,17670.372744843095,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9487123,1730412142.9171937,5000
-3947.273367318317,-187500.02235174447,17647.39515154304,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.952882,1730412142.9171937,5000
-3945.507579506348,-187500.02235174447,17645.49525326434,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9567003,1730412142.9171937,5000
-3955.521161022325,-187500.02235174447,17665.321250596196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.959689,1730412142.9171937,5000
-3962.360794825649,-187500.02235174447,17669.322212853698,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.96367,1730412142.9171937,5000
-3955.9234924225207,-187500.02235174447,17654.05597139072,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9677482,1730412142.9171937,5000
-3952.369565054127,-187500.02235174447,17647.462206776407,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9727464,1730412142.9171937,5000
-3955.16353311104,-187500.02235174447,17660.649736005038,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9768903,1730412142.9171937,5000
-3965.780611727311,-187500.02235174447,17662.54963428374,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9808252,1730412142.9171937,5000
-3960.751469224867,-187500.02235174447,17647.797482943235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.98378,1730412142.9171937,5000
-3946.6251667291126,-187500.02235174447,17646.031695131267,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9878604,1730412142.9171937,5000
-3952.906006921054,-187500.02235174447,17654.771227213292,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.9917552,1730412142.9171937,5000
-3962.539608781292,-187500.02235174447,17660.2697563493,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730412142.995858,1730412142.9171937,5000
