Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-5761.564464755591,-77353.39729230372,4360.735936252587,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.3928096,1730988684.3909433,5000
-5777.098927152029,-77287.95138453858,4352.62225301531,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.396881,1730988684.3909433,5000
-5748.198121571318,-77370.58578378985,4367.396756100268,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4010549,1730988684.3909433,5000
-5729.512063206681,-77433.90827583174,4382.238314418592,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4060092,1730988684.3909433,5000
-5732.171920796862,-77367.12126339928,4374.281093392503,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4098084,1730988684.3909433,5000
-5727.053371316597,-77319.86967562076,4356.779677483997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4128444,1730988684.3909433,5000
-5722.739484636722,-77366.33895234334,4363.14992465376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.416884,1730988684.3909433,5000
-5708.613182140968,-77396.40204863573,4383.86999176383,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.420799,1730988684.3909433,5000
-5747.3264035375605,-77353.55375451491,4381.925389996218,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4248395,1730988684.3909433,5000
-5766.839476447043,-77289.11367525026,4369.564875312433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4288392,1730988684.3909433,5000
-5736.239938287728,-77341.19323983112,4372.090622435882,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730988684.4329293,1730988684.3909433,5000
