Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
26082.563529320185,-96687.81270835552,26381.94279455457,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9463265,1730655186.9451983,5000
26073.86870072707,-96678.60378963994,26379.3276404533,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.951426,1730655186.9451983,5000
26092.55475909171,-96690.83019385698,26381.898091065657,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.955612,1730655186.9451983,5000
26094.49936085932,-96671.3171209475,26377.114817752223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9586017,1730655186.9451983,5000
26094.275843414765,-96701.49197596216,26381.004021287445,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9625912,1730655186.9451983,5000
26092.487703858344,-96669.70779534672,26371.19160547157,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9665728,1730655186.9451983,5000
26085.60336656611,-96655.7603068066,26376.936003796574,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9703658,1730655186.9451983,5000
26097.56154984969,-96645.74672529064,26381.451056176556,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9744036,1730655186.9451983,5000
26109.27386394428,-96658.64368184136,26383.84269283327,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9794345,1730655186.9451983,5000
26087.749134033817,-96649.09948695892,26381.629870132198,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.983622,1730655186.9451983,5000
26088.084410200645,-96633.83324549596,26378.25475671944,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9863598,1730655186.9451983,5000
26103.01537549679,-96652.94398700524,26380.042896275867,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.9906206,1730655186.9451983,5000
26111.62079711209,-96643.66801305627,26381.451056176556,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.994461,1730655186.9451983,5000
26108.78212556626,-96620.53395754503,26379.59586138676,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655186.998521,1730655186.9451983,5000
26096.64512832703,-96633.94500421824,26379.41704743112,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655187.0024064,1730655186.9451983,5000
26109.497381388832,-96626.81479773698,26377.15952124113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655187.007733,1730655186.9451983,5000
26110.81613431169,-96624.87019596936,26378.32181195281,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655187.0114737,1730655186.9451983,5000
