Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-5589.545439427548,-187500.02235174447,7924.9898105847615,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3635151,1731452291.3630931,6000
-5604.185832045774,-187500.02235174447,7908.2036504988255,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3676689,1731452291.3630931,6000
-5601.302457011039,-187500.02235174447,7925.95093559634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3716605,1731452291.3630931,6000
-5576.9837590436655,-187500.02235174447,7946.358078284035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3767035,1731452291.3630931,6000
-5612.344218771961,-187500.02235174447,7926.062694318616,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3805578,1731452291.3630931,6000
-5643.59195752048,-187500.02235174447,7910.483528433268,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3835623,1731452291.3630931,6000
-5604.543459957059,-187500.02235174447,7918.641915159455,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3875554,1731452291.3630931,6000
-5567.216046716696,-187500.02235174447,7932.589403699566,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3916843,1731452291.3630931,6000
-5601.056587822031,-187500.02235174447,7922.754636139231,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3957317,1731452291.3630931,6000
-5640.26154759664,-187500.02235174447,7904.895592319441,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.3995633,1731452291.3630931,6000
-5611.8524803939445,-187500.02235174447,7902.727473107276,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.4045644,1731452291.3630931,6000
-5563.9526920262215,-187500.02235174447,7905.499089419733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.408609,1731452291.3630931,6000
-5595.133375541374,-187500.02235174447,7908.740092365753,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.411559,1731452291.3630931,6000
-5645.245986610173,-187500.02235174447,7914.171566268393,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452291.4157903,1731452291.3630931,6000
