Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-504.300058400638,-187500.02235174447,8872.27909234513,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.1829922,1730330738.180279,6000
-478.8190697215879,-187500.02235174447,8894.630836800437,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.1860502,1730330738.180279,6000
-547.3048147326488,-187500.02235174447,8909.517098607672,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.1900551,1730330738.180279,6000
-586.7332919518104,-187500.02235174447,8885.310159362574,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.1941028,1730330738.180279,6000
-527.2552999562383,-187500.02235174447,8862.8913596739,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.197984,1730330738.180279,6000
-481.21070637830576,-187500.02235174447,8882.158563394376,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2031007,1730330738.180279,6000
-536.5759773941013,-187500.02235174447,8901.13519443693,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.206997,1730330738.180279,6000
-591.5612687541567,-187500.02235174447,8881.398604082895,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.211141,1730330738.180279,6000
-545.6954891318667,-187500.02235174447,8852.60955722446,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2140045,1730330738.180279,6000
-482.7529767457219,-187500.02235174447,8872.144981878399,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2179909,1730330738.180279,6000
-522.7625993207216,-187500.02235174447,8898.207115913287,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2220232,1730330738.180279,6000
-587.8955826634864,-187500.02235174447,8884.751365751192,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2261207,1730330738.180279,6000
-557.3183962486263,-187500.02235174447,8855.13530434791,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2310307,1730330738.180279,6000
-487.8715262259873,-187500.02235174447,8863.494856774194,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2350235,1730330738.180279,6000
-509.4409596253586,-187500.02235174447,8897.290694390618,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2380235,1730330738.180279,6000
-581.100652349073,-187500.02235174447,8894.072043189055,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2420216,1730330738.180279,6000
-570.3047597771597,-187500.02235174447,8861.259682328664,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.246048,1730330738.180279,6000
-493.3700553619928,-187500.02235174447,8864.344223063496,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2500856,1730330738.180279,6000
-496.9686862192973,-187500.02235174447,8894.720243778258,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.254073,1730330738.180279,6000
-573.9257423789195,-187500.02235174447,8895.346092623007,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.259048,1730330738.180279,6000
-585.9286291514194,-187500.02235174447,8859.203321838775,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.263064,1730330738.180279,6000
-511.8772997709871,-187500.02235174447,8855.962318892756,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2661288,1730330738.180279,6000
-487.80447099262136,-187500.02235174447,8904.33149389404,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.270046,1730330738.180279,6000
-550.0540793006516,-187500.02235174447,8920.894136535422,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2741091,1730330738.180279,6000
-581.6147424715451,-187500.02235174447,8873.754307479181,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2781444,1730330738.180279,6000
-520.393314408459,-187500.02235174447,8851.313156046052,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2822464,1730330738.180279,6000
-490.1961076493392,-187500.02235174447,8881.979749438733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2870712,1730330738.180279,6000
-552.780992124199,-187500.02235174447,8901.314008392574,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730330738.2911203,1730330738.180279,6000
