Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-6861.069126256601,-90352.09898377644,3941.193692826473,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.2799532,1730989344.2778196,6000
-6853.469533141796,-90305.04856169804,3936.924509635509,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.2851837,1730989344.2778196,6000
-6875.977739808291,-90288.24004986764,3926.620355441613,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.2881925,1730989344.2778196,6000
-6891.869830116014,-90306.25555589862,3932.722381677912,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.2920728,1730989344.2778196,6000
-6886.594818424562,-90329.16609396532,3944.814675428233,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.2959688,1730989344.2778196,6000
-6890.171097537411,-90364.70536764924,3943.54062599428,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3000815,1730989344.2778196,6000
-6888.338254492075,-90259.96509313169,3926.39683799706,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.304004,1730989344.2778196,6000
-6876.961216564324,-90267.56468624648,3931.560090966236,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3080769,1730989344.2778196,6000
-6847.50161737223,-90383.79375741408,3950.1790940975065,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3120832,1730989344.2778196,6000
-6849.379163906475,-90407.10662688097,3943.786495183289,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.31717,1730989344.2778196,6000
-6894.261466772731,-90309.51891058907,3924.161663551529,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3201256,1730989344.2778196,6000
-6884.136126534478,-90271.18566884824,3923.245242028861,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.323984,1730989344.2778196,6000
-6865.40536468093,-90341.7277743492,3939.427905014504,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3282087,1730989344.2778196,6000
-6885.477231201796,-90372.26025727512,3948.502713263359,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3320808,1730989344.2778196,6000
-6892.048644071656,-90292.79980573652,3936.008088112842,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.336014,1730989344.2778196,6000
-6882.571504422606,-90249.2586075376,3922.865262373122,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3411312,1730989344.2778196,6000
-6882.83972535607,-90354.334158222,3934.3093555342384,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3440692,1730989344.2778196,6000
-6885.141955034967,-90409.72178098225,3940.813713170733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3472636,1730989344.2778196,6000
-6884.73962363477,-90364.01246357114,3930.353096765649,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3522725,1730989344.2778196,6000
-6874.703690374338,-90303.84156749744,3925.949803107954,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3561003,1730989344.2778196,6000
-6865.919454803402,-90371.72381540822,3934.041134600775,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3600452,1730989344.2778196,6000
-6866.858228070525,-90437.70616504028,3937.34919278016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3642151,1730989344.2778196,6000
-6879.576370665595,-90417.85781596396,3924.519291462814,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.369071,1730989344.2778196,6000
-6879.263446243221,-90349.28266397509,3918.5737274377034,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3722613,1730989344.2778196,6000
-6865.1818472363775,-90375.50126022116,3937.662117202535,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.375264,1730989344.2778196,6000
-6868.154629248933,-90407.57601351452,3947.072201618219,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.38017,1730989344.2778196,6000
-6877.654120642438,-90331.55773062202,3939.1149805921295,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3841672,1730989344.2778196,6000
-6873.295530473653,-90291.12342490238,3924.385180996082,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3881204,1730989344.2778196,6000
-6867.193504237355,-90357.15047802337,3922.82055888421,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3922026,1730989344.2778196,6000
-6866.50060015924,-90427.13378991291,3937.192730568973,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.3961325,1730989344.2778196,6000
-6870.948597305846,-90442.91412149835,3935.1140183346297,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4001129,1730989344.2778196,6000
-6875.061318285623,-90322.7734950511,3916.96440183692,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4031422,1730989344.2778196,6000
-6867.886408315469,-90289.9611341907,3913.946916335454,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4071362,1730989344.2778196,6000
-6866.701765859338,-90398.1435773544,3929.839006643177,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.412135,1730989344.2778196,6000
-6873.273178729199,-90432.96759521576,3933.750561922856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4161353,1730989344.2778196,6000
-6877.4529549423405,-90319.8677682719,3920.183053038485,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4201622,1730989344.2778196,6000
-6876.31301597512,-90272.4597182822,3913.589288424169,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4231524,1730989344.2778196,6000
-6873.854324085036,-90371.96968459722,3926.3744862526046,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4272408,1730989344.2778196,6000
-6867.752297848738,-90424.45158057829,3931.738904921878,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4311411,1730989344.2778196,6000
-6865.919454803402,-90321.38768689486,3917.098512303652,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4351687,1730989344.2778196,6000
-6868.109925760023,-90307.03786695456,3915.8915181030657,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4401677,1730989344.2778196,6000
-6878.279969487187,-90411.8899001944,3929.9507653654537,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4451773,1730989344.2778196,6000
-6875.865981086014,-90417.76840898614,3935.717515434923,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4481504,1730989344.2778196,6000
-6880.31397823262,-90361.59847516996,3920.8983088610544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730989344.4511824,1730989344.2778196,6000
