Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
24633.723453727183,-98030.5937565081,26216.025795462825,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7240784,1730655715.7209268,6000
24633.857564193917,-98026.86101518404,26221.41256587655,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7281606,1730655715.7209268,6000
24633.052901393523,-98043.71423050336,26219.57972283122,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7312317,1730655715.7209268,6000
24632.73997697115,-98033.20891060936,26215.221132662435,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7352457,1730655715.7209268,6000
24636.51742178409,-98018.6802767134,26215.39994661808,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7391355,1730655715.7209268,6000
24633.1646601158,-97997.62493343651,26218.439783864,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7431955,1730655715.7209268,6000
24632.69527348224,-97998.92133461492,26220.47379260943,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7482696,1730655715.7209268,6000
24633.65639849381,-97995.61327643551,26215.89168499609,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7520947,1730655715.7209268,6000
24641.144232886345,-98028.64915474047,26217.545714085783,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.755492,1730655715.7209268,6000
24640.741901486148,-98024.62584073852,26222.6419118216,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.759297,1730655715.7209268,6000
24633.276418838075,-97998.69781717037,26221.345510643187,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7631717,1730655715.7209268,6000
24631.577686259472,-97975.78727910368,26215.91403674055,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7674365,1730655715.7209268,6000
24638.953761929723,-98013.11469234404,26222.08311821021,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7711792,1730655715.7209268,6000
24638.93141018527,-98034.39355306549,26221.926655999025,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.775296,1730655715.7209268,6000
24635.042206650043,-97990.49472695526,26215.556408829263,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7803545,1730655715.7209268,6000
24635.62335200588,-98014.00876212223,26218.551542586272,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7832975,1730655715.7209268,6000
24633.03054964907,-98013.67348595544,26216.3387198852,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7873669,1730655715.7209268,6000
24633.65639849381,-97983.0739477961,26215.77992627381,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.7920256,1730655715.7209268,6000
24636.137442128354,-97986.6278751645,26216.65164430757,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730655715.795558,1730655715.7209268,6000
