Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
12099.91569518038,-187500.02235174447,27603.13035287027,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.244582,1729947719.243292,2000
12109.079910407056,-187500.02235174447,27597.02832663397,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2489192,1729947719.243292,2000
12008.720577802727,-187500.02235174447,27466.44943552607,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.25266,1729947719.243292,2000
12004.13847018939,-187500.02235174447,27447.8304323948,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2560256,1729947719.243292,2000
12099.803936458104,-187500.02235174447,27573.044904833427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2595787,1729947719.243292,2000
12122.1109774245,-187500.02235174447,27576.621183946278,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.263643,1729947719.243292,2000
12051.52416843464,-187500.02235174447,27477.424142053624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2677095,1729947719.243292,2000
12002.23857191069,-187500.02235174447,27445.05881608234,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2727215,1729947719.243292,2000
12095.959436411791,-187500.02235174447,27566.13821579674,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2767768,1729947719.243292,2000
12301.886058078537,-187500.02235174447,27635.048643952447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.280718,1729947719.243292,2000
12379.334852616174,-187500.02235174447,27494.925557962128,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2837844,1729947719.243292,2000
12037.28610721661,-187500.02235174447,27382.406876374112,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2876532,1729947719.243292,2000
11872.643157558818,-187500.02235174447,27505.185008667115,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.2917852,1729947719.243292,2000
12157.426733663886,-187500.02235174447,27572.06142807739,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.295861,1729947719.243292,2000
12184.785268877182,-187500.02235174447,27502.659261543664,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3007274,1729947719.243292,2000
12081.363747282476,-187500.02235174447,27374.449655348024,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3048427,1729947719.243292,2000
12057.983822582224,-187500.02235174447,27449.9314963736,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3088355,1729947719.243292,2000
12046.919709076848,-187500.02235174447,27642.17885043369,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3117015,1729947719.243292,2000
12051.412409712364,-187500.02235174447,27652.05832148294,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3157773,1729947719.243292,2000
12028.61363036795,-187500.02235174447,27592.55797774291,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.319693,1729947719.243292,2000
12047.791427110604,-187500.02235174447,27587.797056173928,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.323882,1729947719.243292,2000
12176.64923389545,-187500.02235174447,27710.418726255743,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3276918,1729947719.243292,2000
12267.017336728257,-187500.02235174447,27673.650106626763,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3328865,1729947719.243292,2000
12103.1566981264,-187500.02235174447,27497.808932996864,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3357332,1729947719.243292,2000
11955.45637076573,-187500.02235174447,27527.15677346668,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3398187,1729947719.243292,2000
12060.531921450129,-187500.02235174447,27667.749246090563,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3438072,1729947719.243292,2000
11978.389260576876,-187500.02235174447,27482.31917408933,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3479688,1729947719.243292,2000
11994.0801851845,-187500.02235174447,27127.03819597223,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3519688,1729947719.243292,2000
12288.76558408327,-187500.02235174447,27240.361540360635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.35584,1729947719.243292,2000
12148.553091115127,-187500.02235174447,27700.80747613996,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3608344,1729947719.243292,2000
12089.902113664402,-187500.02235174447,27791.086171994943,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3639622,1729947719.243292,2000
12119.093491923037,-187500.02235174447,27589.585195730357,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3679364,1729947719.243292,2000
11987.173496147812,-187500.02235174447,27380.79755077333,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3718474,1729947719.243292,2000
12032.391075180898,-187500.02235174447,27386.89957700963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.376033,1729947719.243292,2000
12186.819277622615,-187500.02235174447,27470.33863906129,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3800309,1729947719.243292,2000
12258.43426685742,-187500.02235174447,27742.49347954911,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3840208,1729947719.243292,2000
12040.728275862728,-187500.02235174447,27708.250607043577,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729947719.3888962,1729947719.243292,2000
