Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
1063.048966294404,-187500.02235174447,-1723.140683548532,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2330017,1730240624.2320895,2000
1083.6349229377415,-187500.02235174447,-1630.0233161477229,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2372856,1730240624.2320895,2000
1079.723367658063,-187500.02235174447,-1598.7979291436588,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.239988,1730240624.2320895,2000
1071.4532222095993,-187500.02235174447,-1677.7666423042588,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.244077,1730240624.2320895,2000
1088.4405479956326,-187500.02235174447,-1719.3408869911298,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2480147,1730240624.2320895,2000
1103.5726789918756,-187500.02235174447,-1633.6442987494827,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2521088,1730240624.2320895,2000
1083.0537775819037,-187500.02235174447,-1588.627885416494,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2569416,1730240624.2320895,2000
1054.8235243348508,-187500.02235174447,-1674.726805058337,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2609203,1730240624.2320895,2000
1052.722460356052,-187500.02235174447,-1734.9871081098447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.266954,1730240624.2320895,2000
1077.5999519348088,-187500.02235174447,-1668.5130200997617,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2700577,1730240624.2320895,2000
1075.722405400563,-187500.02235174447,-1598.216783787821,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.272966,1730240624.2320895,2000
1054.756469101485,-187500.02235174447,-1657.627720550027,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2760105,1730240624.2320895,2000
1067.541666929921,-187500.02235174447,-1722.917166103979,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.280115,1730240624.2320895,2000
1096.9565626331048,-187500.02235174447,-1660.600502562583,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2851045,1730240624.2320895,2000
1093.2461730535238,-187500.02235174447,-1586.571524926606,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2890396,1730240624.2320895,2000
1073.5319344439429,-187500.02235174447,-1632.7725807157256,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2930453,1730240624.2320895,2000
1081.0644723253813,-187500.02235174447,-1727.9910120953336,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2959826,1730240624.2320895,2000
1081.1315275587474,-187500.02235174447,-1702.62178213856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.2999933,1730240624.2320895,2000
1091.5027369860095,-187500.02235174447,-1607.9174408814242,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.30436,1730240624.2320895,2000
1068.4133849636776,-187500.02235174447,-1620.4344177763962,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.307979,1730240624.2320895,2000
1070.268579753468,-187500.02235174447,-1717.753913134803,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.312086,1730240624.2320895,2000
1080.4162717361776,-187500.02235174447,-1722.0677998146773,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.317011,1730240624.2320895,2000
1095.3472370323227,-187500.02235174447,-1625.5529672566615,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.3212202,1730240624.2320895,2000
1080.4386234806327,-187500.02235174447,-1617.1040078525557,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.324087,1730240624.2320895,2000
1063.2948354834125,-187500.02235174447,-1714.5799654221494,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.328231,1730240624.2320895,2000
1083.076129326359,-187500.02235174447,-1732.729581919859,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.3321934,1730240624.2320895,2000
1108.5571180054092,-187500.02235174447,-1630.9173859259352,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.336241,1730240624.2320895,2000
1103.6173824807863,-187500.02235174447,-1612.9912868727788,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.340176,1730240624.2320895,2000
1059.048004036904,-187500.02235174447,-1712.3000874877082,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.345265,1730240624.2320895,2000
1061.5737511603536,-187500.02235174447,-1743.2572535583083,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.3490791,1730240624.2320895,2000
1104.8690801702835,-187500.02235174447,-1640.9756709308233,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730240624.3522642,1730240624.2320895,2000
