Fp1,C3,time_board
-3852.4125638499936,-535.8383698270762,1730329640.0611968
-3856.704098785413,-565.812059141643,1730329640.0653615
-3765.240760474296,-581.8382599160982,1730329640.0692165
-3747.337013165595,-555.4184979699252,1730329640.0743167
-3837.4368950649377,-534.1172855040176,1730329640.0772183
-3875.256046683317,-566.102631819562,1730329640.0802472
-3791.6158189315584,-589.2143355863495,1730329640.0852015
-3739.804475284157,-559.7100329053442,1730329640.0893989
-3819.309630311684,-530.8986343024534,1730329640.0933087
-3879.301712429728,-556.2902160036822,1730329640.097432
-3807.932592383933,-587.8955826634864,1730329640.1014464
-3740.922062506922,-568.0919370760843,1730329640.1053848
-3807.105577839086,-536.7994948386544,1730329640.1084406
-3882.72152933139,-552.9598060798414,1730329640.112456
-3826.149264115008,-585.168669839939,1730329640.1174667
-3748.029917243709,-577.4796697473133,1730329640.1214535
-3790.140603797508,-540.2416634847717,1730329640.125466
-3873.266741426795,-544.7567158647437,1730329640.12949
-3841.7060782559015,-582.2405913162937,1730329640.1334872
-3755.830676058612,-587.1132716075506,1730329640.1363564
-3779.948208325888,-553.8315241135984,1730329640.1404903
-3868.461116368904,-544.0861635310845,1730329640.1455247
-3854.692441784435,-573.746928423277,1730329640.1495087
-3757.909388292955,-580.5418587376903,1730329640.153516
-3751.561492867648,-545.941358320875,1730329640.1575036
-3845.349412602117,-532.10562850304,1730329640.1604066
-3861.085040698653,-565.4320794859028,1730329640.1645348
-3767.341824453095,-578.4184430144362,1730329640.1683695
-3741.3467456515727,-547.9306635773974,1730329640.1735132
-3830.396095561516,-527.300003445149,1730329640.177407
-3870.137497203052,-553.652710157956,1730329640.1815505
-3793.068682321153,-583.8052134281652,1730329640.1845458
-3741.4361526293937,-559.3971084829699,1730329640.1885538
-3817.856766922089,-533.558491892635,1730329640.192567
-3881.2463141973394,-554.7032421473554,1730329640.1965067
-3812.1570720859854,-584.9451523953858,1730329640.201518
-3741.614966585036,-571.6905679333887,1730329640.2056932
-3800.780034158234,-538.3194134616153,1730329640.209694
-3882.945046775943,-552.7362886352884,1730329640.2127004
-3831.603089762103,-584.6322279730115,1730329640.216694
-3746.644109087481,-577.6137802140452,1730329640.220662
-3784.686778150413,-542.5662449081236,1730329640.224668
-3874.585494349658,-544.6896606313778,1730329640.2285388
-3851.362031860594,-582.9111436499529,1730329640.2336836
-3756.925911536922,-585.101614606573,1730329640.237691
-3766.537161652704,-545.5390269206795,1730329640.240734
-3860.481543598359,-535.8607215715315,1730329640.2445652
-3851.697308027424,-563.9121608629418,1730329640.2487268
-3754.556626624659,-573.9927976122854,1730329640.2525268
-3741.8161322851342,-542.9909280527745,1730329640.2567213
-3838.107447398597,-531.2115587248277,1730329640.26154
-3866.449459367928,-564.3368440075927,1730329640.265561
