time_board,marker
1730328514.6863234,2.0
1730328514.6894329,2.0
1730328514.693421,2.0
1730328514.697566,2.0
1730328514.7012749,2.0
1730328514.7053635,2.0
1730328514.7092094,2.0
1730328514.7132835,2.0
1730328514.7172189,2.0
1730328514.7211752,2.0
1730328514.7252176,2.0
1730328514.7293477,2.0
1730328514.7332318,2.0
1730328514.737574,2.0
1730328514.7413204,2.0
1730328514.7447374,2.0
1730328514.749444,2.0
1730328514.7534337,2.0
1730328514.757424,2.0
1730328514.7614567,2.0
1730328514.7654662,2.0
1730328514.7694929,2.0
1730328514.7724652,2.0
1730328514.7764864,2.0
1730328514.7814546,2.0
1730328514.7855225,2.0
1730328514.789526,2.0
1730328514.793496,2.0
1730328514.7975185,2.0
1730328514.8002985,2.0
1730328514.8055255,2.0
1730328514.8093147,2.0
1730328514.813536,2.0
1730328514.8173945,2.0
1730328514.820573,2.0
1730328514.8245723,2.0
1730328514.828353,2.0
1730328514.8326774,2.0
1730328514.8373847,2.0
1730328514.8413725,2.0
1730328514.8456333,2.0
1730328514.8485038,2.0
1730328514.8526947,2.0
1730328514.8564684,2.0
1730328514.8605733,2.0
1730328514.8656633,2.0
1730328514.869692,2.0
1730328514.8736856,2.0
1730328514.876666,2.0
1730328514.8806672,2.0
1730328514.884529,2.0
1730328514.8886812,2.0
1730328514.8925257,2.0
1730328514.8976457,2.0
1730328514.9017467,2.0
1730328514.9047525,2.0
1730328514.9085252,2.0
1730328514.912696,2.0
1730328514.9165251,2.0
1730328514.9207287,2.0
1730328514.9255495,2.0
1730328514.9286568,2.0
1730328514.932636,2.0
1730328514.936548,2.0
1730328514.9406495,2.0
1730328514.9446032,2.0
1730328514.9486396,2.0
1730328514.9537554,2.0
1730328514.9567304,2.0
1730328514.9607463,2.0
1730328514.9647477,2.0
1730328514.9688523,2.0
1730328514.972829,2.0
1730328514.9767854,2.0
1730328514.9818091,2.0
1730328514.9848309,2.0
1730328514.9888146,2.0
1730328514.9927702,2.0
1730328514.9967525,2.0
1730328515.000786,2.0
1730328515.0048635,2.0
1730328515.0098195,2.0
1730328515.012905,2.0
1730328515.0166633,2.0
1730328515.0208025,2.0
1730328515.024649,2.0
1730328515.028817,2.0
1730328515.0328095,2.0
1730328515.0369475,2.0
1730328515.0399032,2.0
1730328515.0438237,2.0
1730328515.0489595,2.0
1730328515.0529497,2.0
1730328515.0568912,2.0
1730328515.0609388,2.0
1730328515.0649624,2.0
1730328515.067857,2.0
1730328515.0720084,2.0
1730328515.0768783,2.0
1730328515.0810225,2.0
1730328515.084908,2.0
1730328515.088941,2.0
1730328515.0929892,2.0
1730328515.0959284,2.0
1730328515.099838,2.0
1730328515.1039286,2.0
1730328515.1088855,2.0
1730328515.113018,2.0
1730328515.1169162,2.0
1730328515.1202352,2.0
1730328515.1240296,2.0
1730328515.1280203,2.0
1730328515.1319816,2.0
1730328515.1369991,2.0
1730328515.1412,2.0
