Fp1,C3,time_board
-1107.7971586939286,6149.166065355071,1730330163.9743104
-1038.573806115843,6162.353594583702,1730330163.978403
-1072.59316117682,6186.247609406425,1730330163.9836557
-1147.0021184685372,6175.31760636778,1730330163.9875476
-1124.3374495908558,6147.489684520922,1730330163.9903953
-1048.9450155431052,6154.061097390783,1730330163.9945333
-1060.5679226598647,6184.504173338911,1730330163.9983456
-1137.5696823083977,6179.36327211419,1730330164.0023413
-1138.1955311531462,6145.679193220043,1730330164.0063572
-1058.4445069366109,6144.472199019457,1730330164.0113628
-1048.20740797608,6173.641225533632,1730330164.0153503
-1120.4258943111772,6182.246647148925,1730330164.0185776
-1137.7037927751294,6152.138847367626,1730330164.0224776
-1061.6408063937197,6142.25937631838,1730330164.0266032
-1035.8692450367505,6166.421612074568,1730330164.030589
-1108.2888970719457,6176.03286219035,1730330164.034412
-1148.1867609246683,6146.327393809247,1730330164.0393898
-1080.952713603105,6130.055323845783,1730330164.0434136
-1033.9246432691389,6154.798704957808,1730330164.0464015
-1093.1344143312472,6173.864742978185,1730330164.0504098
-1149.4161068697103,6149.166065355071,1730330164.0544283
-1095.950734132616,6125.562623210267,1730330164.0584211
-1035.5786723588317,6141.789989684819,1730330164.062432
-1082.9420188596273,6161.772449227864,1730330164.067445
-1148.589092324864,6147.512036265378,1730330164.0704548
-1108.6465249832304,6127.730742422431,1730330164.0744202
-1041.725402084041,6134.659783203577,1730330164.078441
-1069.6650826531747,6159.537274782333,1730330164.0824428
-1142.196493410646,6150.507170022389,1730330164.0864544
-1127.399638581233,6117.180719039527,1730330164.09047
-1049.8390853213175,6121.785178397319,1730330164.0954914
-1052.789515589418,6155.089277635727,1730330164.098481
-1134.9992316960374,6151.26712933387,1730330164.1016195
-1137.3461648638445,6124.199166798493,1730330164.1064968
-1062.1325447717363,6119.058265573772,1730330164.1104984
-1046.4416201641106,6151.26712933387,1730330164.114494
-1119.0177344104927,6161.101896894204,1730330164.118648
-1144.006984711526,6129.094198834205,1730330164.12278
-1074.5824664333422,6114.87848936063,1730330164.1267552
-1043.2676724514572,6142.6617077185765,1730330164.1297612
-1113.943888419138,6156.966824169973,1730330164.1347525
-1146.8009527684394,6138.97366988345,1730330164.1387312
-1076.9293996011495,6124.400332498591,1730330164.1427577
-1029.0966664667924,6146.483856020433,1730330164.1467276
-1089.111100329292,6181.062004692794,1730330164.1507816
-1145.4374963566656,6178.916237225085,1730330164.154772
-1090.8768881412611,6150.037783388828,1730330164.157817
-1017.9431459835944,6141.231196073437,1730330164.162795
-1063.5183529279657,6160.02901316035,1730330164.1668143
-1139.0896009313583,6156.206864858493,1730330164.1706269
-1110.725237217574,6136.179701826537,1730330164.1748505
-1034.8634165362616,6119.63941092961,1730330164.1788287
-1058.1315825142362,6128.848329645197,1730330164.1828434
-1132.6522985282302,6147.243815331914,1730330164.1858494
-1116.9390221761491,6132.73753318042,1730330164.189726
-1041.568939872854,6124.73560866542,1730330164.1946585
-1044.4746666520437,6132.290498291314,1730330164.1987188
-1122.4375513121547,6133.16221632507,1730330164.2028413
-1133.74753400654,6105.043721800294,1730330164.205886
-1058.1539342586916,6102.16034676556,1730330164.2099097
-1039.8925590387057,6137.9678413829615,1730330164.2139385
