time_board,marker
1730330163.9743104,3.0
1730330163.978403,3.0
1730330163.9836557,3.0
1730330163.9875476,3.0
1730330163.9903953,3.0
1730330163.9945333,3.0
1730330163.9983456,3.0
1730330164.0023413,3.0
1730330164.0063572,3.0
1730330164.0113628,3.0
1730330164.0153503,3.0
1730330164.0185776,3.0
1730330164.0224776,3.0
1730330164.0266032,3.0
1730330164.030589,3.0
1730330164.034412,3.0
1730330164.0393898,3.0
1730330164.0434136,3.0
1730330164.0464015,3.0
1730330164.0504098,3.0
1730330164.0544283,3.0
1730330164.0584211,3.0
1730330164.062432,3.0
1730330164.067445,3.0
1730330164.0704548,3.0
1730330164.0744202,3.0
1730330164.078441,3.0
1730330164.0824428,3.0
1730330164.0864544,3.0
1730330164.09047,3.0
1730330164.0954914,3.0
1730330164.098481,3.0
1730330164.1016195,3.0
1730330164.1064968,3.0
1730330164.1104984,3.0
1730330164.114494,3.0
1730330164.118648,3.0
1730330164.12278,3.0
1730330164.1267552,3.0
1730330164.1297612,3.0
1730330164.1347525,3.0
1730330164.1387312,3.0
1730330164.1427577,3.0
1730330164.1467276,3.0
1730330164.1507816,3.0
1730330164.154772,3.0
1730330164.157817,3.0
1730330164.162795,3.0
1730330164.1668143,3.0
1730330164.1706269,3.0
1730330164.1748505,3.0
1730330164.1788287,3.0
1730330164.1828434,3.0
1730330164.1858494,3.0
1730330164.189726,3.0
1730330164.1946585,3.0
1730330164.1987188,3.0
1730330164.2028413,3.0
1730330164.205886,3.0
1730330164.2099097,3.0
1730330164.2139385,3.0
1730330164.218001,3.0
1730330164.2227275,3.0
1730330164.226829,3.0
1730330164.231017,3.0
1730330164.233946,3.0
1730330164.2379751,3.0
1730330164.241958,3.0
1730330164.245997,3.0
1730330164.2509844,3.0
1730330164.2549777,3.0
1730330164.2588918,3.0
1730330164.2618172,3.0
1730330164.2659564,3.0
1730330164.2699585,3.0
1730330164.273845,3.0
1730330164.2780735,3.0
1730330164.2828395,3.0
1730330164.2870104,3.0
1730330164.2898932,3.0
1730330164.2941206,3.0
1730330164.2978723,3.0
1730330164.3020864,3.0
1730330164.3060565,3.0
1730330164.3111644,3.0
1730330164.314311,3.0
1730330164.318112,3.0
1730330164.3270552,3.0
1730330164.3270824,3.0
1730330164.3300166,3.0
1730330164.3341742,3.0
1730330164.3409336,3.0
1730330164.3419473,3.0
1730330164.35457,3.0
1730330164.354586,3.0
1730330164.3545902,3.0
1730330164.3579044,3.0
1730330164.361924,3.0
1730330164.3670907,3.0
1730330164.3700917,3.0
1730330164.3739712,3.0
1730330164.3779523,3.0
1730330164.382009,3.0
1730330164.3859327,3.0
1730330164.3899891,3.0
1730330164.3949783,3.0
1730330164.400385,3.0
1730330164.4029825,3.0
1730330164.4059885,3.0
1730330164.4101844,3.0
1730330164.4141,3.0
1730330164.41821,3.0
1730330164.4237492,3.0
1730330164.4290924,3.0
1730330164.429108,3.0
1730330164.434072,3.0
1730330164.4381132,3.0
1730330164.4421215,3.0
1730330164.4460368,3.0
1730330164.4510908,3.0
1730330164.4541245,3.0
1730330164.4571064,3.0
1730330164.4621725,3.0
1730330164.4662857,3.0
1730330164.4700875,3.0
1730330164.477822,3.0
1730330164.4788387,3.0
1730330164.481127,3.0
1730330164.4851096,3.0
1730330164.4901364,3.0
1730330164.494171,3.0
1730330164.4982145,3.0
1730330164.5063334,3.0
1730330164.506349,3.0
1730330164.5101795,3.0
1730330164.513725,3.0
1730330164.5182931,3.0
1730330164.5221956,3.0
1730330164.5263815,3.0
1730330164.530377,3.0
1730330164.533362,3.0
1730330164.5373747,3.0
1730330164.5413969,3.0
1730330164.5454292,3.0
1730330164.550472,3.0
1730330164.554406,3.0
1730330164.5584693,3.0
1730330164.5614684,3.0
1730330164.565388,3.0
1730330164.569332,3.0
1730330164.5732768,3.0
