Fp1,C3,time_board
-468.3361015720489,-63.5907129753486,1730245509.8147628
-466.34679631552655,-58.91919838418941,1730245509.8189464
-475.8462877090321,-87.77530047599083,1730245509.8229604
-480.2942848556382,-101.52162331600468,1730245509.8279407
-449.85120890750994,-65.8482391653346,1730245509.8317635
-438.8988541244095,-40.836637119846,1730245509.8359034
-466.03387189315225,-76.08533812586523,1730245509.8388147
-476.69565399833374,-105.74610301805772,1730245509.8439715
-438.2506535352056,-71.41382353470607,1730245509.8478167
-446.2972815391161,-42.04363132043258,1730245509.8508384
-469.11841262798464,-68.6645589667033,1730245509.8558428
-477.8132412210991,-103.91325997272251,1730245509.859831
-444.0174036046748,-88.89288769875618,1730245509.863909
-444.5091419826916,-48.413878490195096,1730245509.866953
-471.7559184737109,-64.97652113157763,1730245509.8708844
-480.0707674110851,-104.18148090618622,1730245509.8749883
-469.14076437244,-95.03961742396564,1730245509.8788369
-461.13883985744,-63.054271108421226,1730245509.8830516
-476.02510166467454,-79.88513468326744,1730245509.887862
-488.43031983737,-113.2786408994962,1730245509.8919742
-478.975531932775,-112.3398676323733,1730245509.8951042
-449.0912495960295,-69.9386084006558,1730245509.899106
-459.5295142566579,-63.68011995316982,1730245509.9039454
-478.684959254856,-113.3233443884068,1730245509.908069
-488.78794774865486,-118.7101148021358,1730245509.9110904
-453.38278453144846,-84.06491089640986,1730245509.916083
-463.7986974476216,-66.80936417691281,1730245509.9190695
-503.7859682781659,-100.58285004888178,1730245509.9241056
-500.4555583543252,-113.97154497761072,1730245509.926988
-478.3049795991158,-72.41965203519489,1730245509.932078
-465.34096781503774,-55.7005471826252,1730245509.9350815
-494.50999432921344,-83.90844868522271,1730245509.9392312
-507.9657444913083,-103.8462047393566,1730245509.9441917
-469.4760405392696,-79.90748642772274,1730245509.9471128
-460.87061892397634,-49.263244779496766,1730245509.9501207
-481.0989476560292,-68.15046884423123,1730245509.955092
-496.38754086345926,-110.05998969793198,1730245509.9591324
-469.4760405392696,-98.88411747027844,1730245509.9630313
-448.8677321514765,-59.12036408428718,1730245509.967141
-472.7393952297444,-61.95903563011118,1730245509.9721427
-488.5867820485571,-105.58964080687056,1730245509.975146
