time_board,marker
1730988684.3928096,4.0
1730988684.396881,4.0
1730988684.4010549,4.0
1730988684.4060092,4.0
1730988684.4098084,4.0
1730988684.4128444,4.0
1730988684.416884,4.0
1730988684.420799,4.0
1730988684.4248395,4.0
1730988684.4288392,4.0
1730988684.4329293,4.0
1730988684.4379764,4.0
1730988684.4409132,4.0
1730988684.4450245,4.0
1730988684.448902,4.0
1730988684.452958,4.0
1730988684.4569798,4.0
1730988684.4619985,4.0
1730988684.4658782,4.0
1730988684.4690332,4.0
1730988684.472927,4.0
1730988684.4771533,4.0
1730988684.480932,4.0
1730988684.4851823,4.0
1730988684.489027,4.0
1730988684.4941952,4.0
1730988684.4969418,4.0
1730988684.5010517,4.0
1730988684.504979,4.0
1730988684.508983,4.0
1730988684.5131135,4.0
1730988684.517221,4.0
1730988684.521348,4.0
1730988684.524043,4.0
1730988684.5290704,4.0
1730988684.533118,4.0
1730988684.5371482,4.0
1730988684.5411513,4.0
1730988684.5451396,4.0
1730988684.549099,4.0
1730988684.552212,4.0
1730988684.5560548,4.0
1730988684.5611968,4.0
1730988684.565234,4.0
1730988684.569092,4.0
1730988684.5731578,4.0
1730988684.577207,4.0
1730988684.5801463,4.0
1730988684.5852256,4.0
1730988684.5891483,4.0
1730988684.5932477,4.0
1730988684.59714,4.0
1730988684.6012323,4.0
1730988684.6051812,4.0
1730988684.6083307,4.0
1730988684.6123085,4.0
1730988684.617339,4.0
1730988684.6213272,4.0
1730988684.6253555,4.0
1730988684.629294,4.0
1730988684.6322913,4.0
1730988684.636299,4.0
1730988684.6402977,4.0
1730988684.6451986,4.0
1730988684.649217,4.0
1730988684.6533432,4.0
1730988684.6562688,4.0
1730988684.6602764,4.0
1730988684.6642635,4.0
1730988684.6682498,4.0
1730988684.6722732,4.0
1730988684.677271,4.0
1730988684.6812298,4.0
1730988684.6842132,4.0
1730988684.6882565,4.0
1730988684.6922407,4.0
1730988684.6962905,4.0
1730988684.7004972,4.0
1730988684.7053394,4.0
1730988684.7093985,4.0
1730988684.7124023,4.0
1730988684.7163253,4.0
1730988684.7204146,4.0
1730988684.7244334,4.0
1730988684.7284555,4.0
1730988684.7334487,4.0
1730988684.737465,4.0
1730988684.7403836,4.0
1730988684.7444253,4.0
1730988684.7484505,4.0
1730988684.7524345,4.0
1730988684.75642,4.0
1730988684.760418,4.0
1730988684.765416,4.0
1730988684.7684236,4.0
1730988684.7724185,4.0
1730988684.776391,4.0
1730988684.7804697,4.0
1730988684.784426,4.0
1730988684.7894545,4.0
1730988684.7924235,4.0
1730988684.7954593,4.0
1730988684.8005576,4.0
1730988684.8046124,4.0
1730988684.8085172,4.0
1730988684.812518,4.0
1730988684.8175268,4.0
1730988684.8205633,4.0
1730988684.8235805,4.0
1730988684.828606,4.0
1730988684.8326304,4.0
1730988684.8366368,4.0
1730988684.840701,4.0
1730988684.8457177,4.0
1730988684.848548,4.0
1730988684.851555,4.0
1730988684.8565817,4.0
1730988684.8606305,4.0
1730988684.8645897,4.0
1730988684.8687212,4.0
1730988684.8727896,4.0
1730988684.8768027,4.0
1730988684.8795989,4.0
1730988684.8846257,4.0
1730988684.8886354,4.0
1730988684.8928487,4.0
1730988684.8966255,4.0
1730988684.900669,4.0
1730988684.9046507,4.0
1730988684.9077652,4.0
1730988684.911778,4.0
1730988684.916721,4.0
1730988684.920766,4.0
1730988684.924765,4.0
1730988684.9276755,4.0
1730988684.9316404,4.0
1730988684.9356391,4.0
1730988684.9397547,4.0
1730988684.9448206,4.0
1730988684.9487476,4.0
1730988684.952782,4.0
1730988684.9557495,4.0
1730988684.9598253,4.0
1730988684.9637458,4.0
1730988684.9677012,4.0
1730988684.972778,4.0
1730988684.9767234,4.0
1730988684.9807644,4.0
1730988684.983821,4.0
1730988684.987851,4.0
1730988684.9918947,4.0
1730988684.995988,4.0
1730988685.0009916,4.0
1730988685.0048397,4.0
1730988685.0090191,4.0
1730988685.0118444,4.0
1730988685.0158875,4.0
1730988685.0199687,4.0
1730988685.023939,4.0
1730988685.028998,4.0
1730988685.033007,4.0
1730988685.0370452,4.0
1730988685.0398724,4.0
1730988685.0438168,4.0
1730988685.0478303,4.0
1730988685.0520592,4.0
1730988685.055869,4.0
1730988685.0610318,4.0
1730988685.0639465,4.0
1730988685.068019,4.0
1730988685.0719085,4.0
1730988685.0760388,4.0
1730988685.079892,4.0
1730988685.0841255,4.0
1730988685.0889585,4.0
1730988685.092134,4.0
1730988685.095075,4.0
1730988685.1000097,4.0
1730988685.1040604,4.0
1730988685.1080332,4.0
1730988685.1119752,4.0
1730988685.117104,4.0
1730988685.1200352,4.0
1730988685.1229317,4.0
1730988685.1281338,4.0
1730988685.1319432,4.0
1730988685.1360676,4.0
1730988685.1401465,4.0
1730988685.1441133,4.0
1730988685.1480503,4.0
1730988685.151126,4.0
1730988685.1559908,4.0
1730988685.1601567,4.0
1730988685.1640007,4.0
1730988685.1681657,4.0
1730988685.1730225,4.0
1730988685.1760936,4.0
1730988685.1790843,4.0
1730988685.183182,4.0
1730988685.1882336,4.0
1730988685.1921985,4.0
1730988685.1961615,4.0
1730988685.20008,4.0
1730988685.203136,4.0
1730988685.207113,4.0
1730988685.2122931,4.0
1730988685.2160723,4.0
1730988685.2201288,4.0
1730988685.2241185,4.0
1730988685.227238,4.0
1730988685.2311635,4.0
1730988685.2352364,4.0
1730988685.2391708,4.0
1730988685.2442656,4.0
1730988685.2481608,4.0
1730988685.2521653,4.0
1730988685.255169,4.0
1730988685.2592645,4.0
1730988685.263219,4.0
1730988685.2672827,4.0
1730988685.2722244,4.0
1730988685.276327,4.0
1730988685.280373,4.0
1730988685.2832708,4.0
1730988685.2872365,4.0
1730988685.2914212,4.0
1730988685.2955284,4.0
1730988685.3003864,4.0
1730988685.304426,4.0
1730988685.3074272,4.0
1730988685.311479,4.0
1730988685.3153336,4.0
1730988685.319425,4.0
1730988685.323305,4.0
1730988685.3283885,4.0
1730988685.3324664,4.0
1730988685.3354127,4.0
1730988685.339358,4.0
1730988685.3434267,4.0
1730988685.3474607,4.0
1730988685.351336,4.0
1730988685.3554628,4.0
1730988685.360516,4.0
1730988685.3633564,4.0
1730988685.366576,4.0
1730988685.3714435,4.0
1730988685.375471,4.0
1730988685.379476,4.0
1730988685.3835168,4.0
1730988685.3884296,4.0
1730988685.3914757,4.0
1730988685.3955147,4.0
1730988685.399468,4.0
1730988685.4035077,4.0
1730988685.4074996,4.0
1730988685.4115555,4.0
1730988685.4165623,4.0
1730988685.4195683,4.0
1730988685.4224598,4.0
1730988685.4275749,4.0
1730988685.4315157,4.0
1730988685.4356103,4.0
1730988685.439488,4.0
1730988685.4445968,4.0
1730988685.447539,4.0
1730988685.4505515,4.0
1730988685.4555104,4.0
1730988685.459639,4.0
1730988685.4635482,4.0
1730988685.4676492,4.0
1730988685.4715643,4.0
1730988685.4746902,4.0
1730988685.4786613,4.0
1730988685.483614,4.0
1730988685.487666,4.0
