time_board,marker
1730246165.8896184,5.0
1730246165.8936255,5.0
1730246165.897636,5.0
1730246165.9014208,5.0
1730246165.9056215,5.0
1730246165.909564,5.0
1730246165.9125135,5.0
1730246165.9175184,5.0
1730246165.9214947,5.0
1730246165.925903,5.0
1730246165.9296243,5.0
1730246165.9337096,5.0
1730246165.9365146,5.0
1730246165.9406736,5.0
1730246165.9445453,5.0
1730246165.949821,5.0
1730246165.953688,5.0
1730246165.9577563,5.0
1730246165.9608145,5.0
1730246165.9647307,5.0
1730246165.9687264,5.0
1730246165.972745,5.0
1730246165.9776418,5.0
1730246165.981753,5.0
1730246165.9857292,5.0
1730246165.9887564,5.0
1730246165.992756,5.0
1730246165.9967864,5.0
1730246166.0008106,5.0
1730246166.0058467,5.0
1730246166.009899,5.0
1730246166.013899,5.0
1730246166.016942,5.0
1730246166.0208156,5.0
1730246166.0247996,5.0
1730246166.0287044,5.0
1730246166.0328462,5.0
1730246166.0378475,5.0
1730246166.041866,5.0
1730246166.044696,5.0
1730246166.0488508,5.0
1730246166.0526876,5.0
1730246166.0569158,5.0
1730246166.0607586,5.0
1730246166.065961,5.0
1730246166.0689402,5.0
1730246166.0729544,5.0
1730246166.0767517,5.0
1730246166.08087,5.0
1730246166.084942,5.0
1730246166.0889418,5.0
1730246166.0939806,5.0
1730246166.097046,5.0
1730246166.1000462,5.0
1730246166.1050298,5.0
1730246166.1089742,5.0
1730246166.1130185,5.0
1730246166.1170046,5.0
1730246166.1221056,5.0
1730246166.1248572,5.0
1730246166.1289687,5.0
1730246166.1330338,5.0
1730246166.1368878,5.0
1730246166.1415348,5.0
1730246166.1449552,5.0
1730246166.149292,5.0
1730246166.1528895,5.0
1730246166.1560545,5.0
1730246166.1608803,5.0
1730246166.1651216,5.0
1730246166.1689773,5.0
1730246166.173128,5.0
1730246166.1771417,5.0
1730246166.1811533,5.0
1730246166.1839757,5.0
1730246166.1881473,5.0
1730246166.193151,5.0
1730246166.197091,5.0
1730246166.201136,5.0
1730246166.2040796,5.0
1730246166.2081516,5.0
1730246166.2120905,5.0
1730246166.2171457,5.0
1730246166.2211156,5.0
1730246166.225223,5.0
1730246166.2291212,5.0
1730246166.2322376,5.0
1730246166.2360048,5.0
1730246166.2400937,5.0
1730246166.2440224,5.0
1730246166.2492404,5.0
1730246166.2530732,5.0
1730246166.2571049,5.0
1730246166.2601323,5.0
1730246166.2645843,5.0
1730246166.2685113,5.0
1730246166.2721963,5.0
1730246166.2773075,5.0
1730246166.2813816,5.0
1730246166.2852385,5.0
1730246166.288211,5.0
1730246166.2923007,5.0
1730246166.2962809,5.0
1730246166.300295,5.0
1730246166.3052423,5.0
1730246166.3092196,5.0
1730246166.3121934,5.0
1730246166.3163357,5.0
1730246166.3201768,5.0
1730246166.3243313,5.0
1730246166.3281991,5.0
1730246166.3333492,5.0
1730246166.337372,5.0
1730246166.3403866,5.0
1730246166.3442185,5.0
1730246166.3484097,5.0
1730246166.3522043,5.0
1730246166.3564095,5.0
1730246166.360458,5.0
1730246166.3654337,5.0
1730246166.3684385,5.0
1730246166.372368,5.0
1730246166.3764591,5.0
1730246166.380411,5.0
1730246166.384434,5.0
1730246166.3883283,5.0
1730246166.393476,5.0
1730246166.3964255,5.0
1730246166.400633,5.0
1730246166.404494,5.0
1730246166.408715,5.0
1730246166.4124165,5.0
1730246166.4164865,5.0
1730246166.4203763,5.0
1730246166.423679,5.0
1730246166.4273927,5.0
1730246166.4325771,5.0
1730246166.436437,5.0
1730246166.4406047,5.0
1730246166.44439,5.0
1730246166.4485483,5.0
1730246166.4515624,5.0
1730246166.4554763,5.0
1730246166.4605968,5.0
1730246166.4644935,5.0
1730246166.4685705,5.0
1730246166.47258,5.0
1730246166.476565,5.0
1730246166.4795768,5.0
1730246166.4834812,5.0
1730246166.4886146,5.0
1730246166.4925976,5.0
1730246166.4966123,5.0
1730246166.5006125,5.0
1730246166.5035655,5.0
1730246166.5076349,5.0
1730246166.5114784,5.0
1730246166.5156329,5.0
1730246166.5206673,5.0
1730246166.5246675,5.0
1730246166.5285692,5.0
1730246166.5316546,5.0
1730246166.535506,5.0
1730246166.5397117,5.0
1730246166.543686,5.0
1730246166.5477393,5.0
1730246166.5525455,5.0
1730246166.555656,5.0
1730246166.5595703,5.0
1730246166.563788,5.0
1730246166.567766,5.0
1730246166.5717688,5.0
1730246166.5768323,5.0
1730246166.580783,5.0
1730246166.5837803,5.0
1730246166.587787,5.0
1730246166.5918095,5.0
1730246166.5957437,5.0
1730246166.5998268,5.0
1730246166.604859,5.0
1730246166.6088755,5.0
1730246166.6116717,5.0
1730246166.6158476,5.0
1730246166.6196663,5.0
1730246166.6237755,5.0
1730246166.6276708,5.0
1730246166.63173,5.0
1730246166.6368003,5.0
1730246166.6397774,5.0
1730246166.6439197,5.0
1730246166.647853,5.0
1730246166.651822,5.0
1730246166.6558805,5.0
1730246166.6608047,5.0
1730246166.6648338,5.0
1730246166.6679769,5.0
1730246166.6720283,5.0
1730246166.6758652,5.0
1730246166.6801383,5.0
1730246166.684019,5.0
1730246166.6884885,5.0
1730246166.6920533,5.0
1730246166.6949346,5.0
1730246166.700063,5.0
1730246166.7039912,5.0
1730246166.707922,5.0
1730246166.7119064,5.0
1730246166.7159812,5.0
1730246166.719987,5.0
1730246166.7231183,5.0
1730246166.7278488,5.0
1730246166.7320352,5.0
