time_board,marker
1730411328.3837872,5.0
1730411328.3878074,5.0
1730411328.3907833,5.0
1730411328.3948772,5.0
1730411328.3997817,5.0
1730411328.4039245,5.0
1730411328.4078388,5.0
1730411328.4110076,5.0
1730411328.4148383,5.0
1730411328.418933,5.0
1730411328.4230213,5.0
1730411328.428014,5.0
1730411328.4318757,5.0
1730411328.435979,5.0
1730411328.4390955,5.0
1730411328.4430327,5.0
1730411328.4469311,5.0
1730411328.4509456,5.0
1730411328.454959,5.0
1730411328.459962,5.0
1730411328.4639423,5.0
1730411328.4671063,5.0
1730411328.4710004,5.0
1730411328.4750369,5.0
1730411328.4790618,5.0
1730411328.4830177,5.0
1730411328.488052,5.0
1730411328.4909585,5.0
1730411328.495201,5.0
1730411328.4990678,5.0
1730411328.5032485,5.0
1730411328.5070827,5.0
1730411328.5112436,5.0
1730411328.516111,5.0
1730411328.5190463,5.0
1730411328.523296,5.0
1730411328.5271983,5.0
1730411328.5312605,5.0
1730411328.535072,5.0
1730411328.53918,5.0
1730411328.5441778,5.0
1730411328.547237,5.0
1730411328.5501063,5.0
1730411328.5552337,5.0
1730411328.559157,5.0
1730411328.5631049,5.0
1730411328.56709,5.0
1730411328.5721917,5.0
1730411328.5752125,5.0
1730411328.5791886,5.0
1730411328.5831418,5.0
1730411328.5882585,5.0
1730411328.5911405,5.0
1730411328.5953453,5.0
1730411328.59917,5.0
1730411328.6033297,5.0
1730411328.6072392,5.0
1730411328.611375,5.0
1730411328.6151736,5.0
1730411328.618226,5.0
1730411328.6222093,5.0
1730411328.6272588,5.0
1730411328.631338,5.0
1730411328.6352837,5.0
1730411328.6393228,5.0
1730411328.643371,5.0
1730411328.6463346,5.0
1730411328.6503468,5.0
1730411328.6553898,5.0
1730411328.659423,5.0
1730411328.6634114,5.0
1730411328.6663644,5.0
1730411328.6703515,5.0
1730411328.674286,5.0
1730411328.678466,5.0
1730411328.683458,5.0
1730411328.6875477,5.0
1730411328.6914246,5.0
1730411328.6945298,5.0
1730411328.698415,5.0
1730411328.7024136,5.0
1730411328.7064433,5.0
1730411328.7115216,5.0
1730411328.7153604,5.0
1730411328.7194405,5.0
1730411328.7225184,5.0
1730411328.727544,5.0
1730411328.7315264,5.0
1730411328.7344875,5.0
1730411328.7385423,5.0
1730411328.7434893,5.0
1730411328.747608,5.0
1730411328.750481,5.0
1730411328.7546055,5.0
1730411328.7585652,5.0
1730411328.7625923,5.0
1730411328.7665515,5.0
1730411328.7714405,5.0
1730411328.7744322,5.0
1730411328.7784996,5.0
1730411328.7825086,5.0
1730411328.786648,5.0
1730411328.790496,5.0
1730411328.794654,5.0
1730411328.7995424,5.0
1730411328.8025472,5.0
1730411328.8067305,5.0
1730411328.8107212,5.0
1730411328.814669,5.0
1730411328.8187833,5.0
1730411328.8227324,5.0
1730411328.8277853,5.0
1730411328.8307724,5.0
1730411328.834764,5.0
1730411328.8387988,5.0
1730411328.8428953,5.0
1730411328.8468144,5.0
1730411328.850768,5.0
1730411328.8558547,5.0
1730411328.85881,5.0
1730411328.8618376,5.0
1730411328.866638,5.0
1730411328.870865,5.0
1730411328.874675,5.0
1730411328.8788753,5.0
1730411328.8838863,5.0
1730411328.8869734,5.0
1730411328.889779,5.0
1730411328.894765,5.0
1730411328.8986976,5.0
1730411328.9026916,5.0
1730411328.9067056,5.0
1730411328.9098172,5.0
1730411328.9138856,5.0
1730411328.9179032,5.0
1730411328.92187,5.0
1730411328.9268029,5.0
1730411328.9308093,5.0
1730411328.9348936,5.0
1730411328.9379144,5.0
1730411328.9418423,5.0
1730411328.945944,5.0
1730411328.9498036,5.0
1730411328.9548893,5.0
1730411328.9588027,5.0
1730411328.9629965,5.0
1730411328.9658878,5.0
1730411328.970103,5.0
1730411328.97385,5.0
1730411328.9779863,5.0
1730411328.982828,5.0
1730411328.9870656,5.0
1730411328.990828,5.0
1730411328.993982,5.0
1730411328.997969,5.0
1730411329.0019355,5.0
1730411329.0058732,5.0
1730411329.0110123,5.0
1730411329.0148866,5.0
1730411329.0180905,5.0
1730411329.0220869,5.0
1730411329.0262277,5.0
1730411329.0301995,5.0
1730411329.0340874,5.0
1730411329.038046,5.0
1730411329.043089,5.0
1730411329.046102,5.0
1730411329.0501187,5.0
1730411329.054024,5.0
1730411329.0580175,5.0
1730411329.0620584,5.0
1730411329.066091,5.0
1730411329.071126,5.0
1730411329.0739667,5.0
1730411329.0781002,5.0
1730411329.0819523,5.0
1730411329.08611,5.0
1730411329.0900483,5.0
1730411329.0940988,5.0
1730411329.099015,5.0
1730411329.102209,5.0
1730411329.106127,5.0
1730411329.1103148,5.0
1730411329.114208,5.0
1730411329.1182692,5.0
1730411329.1222312,5.0
1730411329.126118,5.0
1730411329.129212,5.0
1730411329.1331084,5.0
1730411329.1381197,5.0
1730411329.142175,5.0
1730411329.1460912,5.0
1730411329.150232,5.0
1730411329.1541495,5.0
1730411329.157142,5.0
1730411329.1612332,5.0
1730411329.166196,5.0
1730411329.1702807,5.0
