time_board,marker
1730989344.2799532,5.0
1730989344.2851837,5.0
1730989344.2881925,5.0
1730989344.2920728,5.0
1730989344.2959688,5.0
1730989344.3000815,5.0
1730989344.304004,5.0
1730989344.3080769,5.0
1730989344.3120832,5.0
1730989344.31717,5.0
1730989344.3201256,5.0
1730989344.323984,5.0
1730989344.3282087,5.0
1730989344.3320808,5.0
1730989344.336014,5.0
1730989344.3411312,5.0
1730989344.3440692,5.0
1730989344.3472636,5.0
1730989344.3522725,5.0
1730989344.3561003,5.0
1730989344.3600452,5.0
1730989344.3642151,5.0
1730989344.369071,5.0
1730989344.3722613,5.0
1730989344.375264,5.0
1730989344.38017,5.0
1730989344.3841672,5.0
1730989344.3881204,5.0
1730989344.3922026,5.0
1730989344.3961325,5.0
1730989344.4001129,5.0
1730989344.4031422,5.0
1730989344.4071362,5.0
1730989344.412135,5.0
1730989344.4161353,5.0
1730989344.4201622,5.0
1730989344.4231524,5.0
1730989344.4272408,5.0
1730989344.4311411,5.0
1730989344.4351687,5.0
1730989344.4401677,5.0
1730989344.4451773,5.0
1730989344.4481504,5.0
1730989344.4511824,5.0
1730989344.4561925,5.0
1730989344.4601903,5.0
1730989344.463196,5.0
1730989344.4672115,5.0
1730989344.4712172,5.0
1730989344.4752483,5.0
1730989344.480274,5.0
1730989344.4842906,5.0
1730989344.488335,5.0
1730989344.4913375,5.0
1730989344.4952452,5.0
1730989344.4993243,5.0
1730989344.5032897,5.0
1730989344.5072792,5.0
1730989344.51228,5.0
1730989344.5163493,5.0
1730989344.5193703,5.0
1730989344.5232944,5.0
1730989344.527374,5.0
1730989344.531336,5.0
1730989344.5353277,5.0
1730989344.540392,5.0
1730989344.5443575,5.0
1730989344.5475376,5.0
1730989344.5515091,5.0
1730989344.5555055,5.0
1730989344.5594144,5.0
1730989344.5634325,5.0
1730989344.5684192,5.0
1730989344.5724473,5.0
1730989344.5754263,5.0
1730989344.5795364,5.0
1730989344.5835204,5.0
1730989344.5875287,5.0
1730989344.5914788,5.0
1730989344.5965548,5.0
1730989344.5995398,5.0
1730989344.6034455,5.0
1730989344.6074333,5.0
1730989344.6114788,5.0
1730989344.6154847,5.0
1730989344.6195,5.0
1730989344.6245606,5.0
1730989344.6275065,5.0
1730989344.6305883,5.0
1730989344.6355054,5.0
1730989344.6395493,5.0
1730989344.6436524,5.0
1730989344.647668,5.0
1730989344.6525793,5.0
1730989344.6556711,5.0
1730989344.6586716,5.0
1730989344.6637506,5.0
1730989344.6677735,5.0
1730989344.671684,5.0
1730989344.6756551,5.0
1730989344.6795533,5.0
1730989344.6835704,5.0
1730989344.686595,5.0
1730989344.6915765,5.0
1730989344.6955965,5.0
1730989344.6995568,5.0
1730989344.703651,5.0
1730989344.7076204,5.0
1730989344.711624,5.0
1730989344.7146275,5.0
1730989344.718643,5.0
1730989344.72364,5.0
1730989344.727654,5.0
1730989344.731674,5.0
1730989344.734671,5.0
1730989344.7386527,5.0
1730989344.742668,5.0
1730989344.7466764,5.0
1730989344.751696,5.0
1730989344.7556927,5.0
1730989344.759689,5.0
1730989344.7626777,5.0
1730989344.7667243,5.0
1730989344.7707229,5.0
1730989344.774736,5.0
1730989344.7797165,5.0
1730989344.7837722,5.0
1730989344.787681,5.0
1730989344.79079,5.0
1730989344.7949247,5.0
1730989344.79882,5.0
1730989344.8027835,5.0
1730989344.806909,5.0
1730989344.8118272,5.0
1730989344.8157735,5.0
1730989344.8188305,5.0
1730989344.8228085,5.0
1730989344.8269196,5.0
1730989344.8309076,5.0
1730989344.8349044,5.0
1730989344.8399425,5.0
1730989344.8438847,5.0
1730989344.8471136,5.0
1730989344.8508282,5.0
1730989344.8548503,5.0
1730989344.8588789,5.0
1730989344.8628774,5.0
1730989344.8678732,5.0
1730989344.8709364,5.0
1730989344.8750231,5.0
1730989344.8790088,5.0
1730989344.8831136,5.0
1730989344.887087,5.0
1730989344.8909764,5.0
1730989344.8960922,5.0
1730989344.8990233,5.0
1730989344.901978,5.0
1730989344.9071772,5.0
1730989344.9109445,5.0
1730989344.9150136,5.0
1730989344.9189768,5.0
1730989344.9240153,5.0
1730989344.9271133,5.0
1730989344.9300864,5.0
1730989344.935179,5.0
1730989344.9389813,5.0
1730989344.9430747,5.0
1730989344.9470963,5.0
1730989344.9520674,5.0
1730989344.9552004,5.0
1730989344.9580357,5.0
1730989344.9631443,5.0
1730989344.967128,5.0
1730989344.97147,5.0
1730989344.975118,5.0
1730989344.979114,5.0
1730989344.9831374,5.0
1730989344.986066,5.0
1730989344.9910853,5.0
1730989344.995087,5.0
1730989344.999082,5.0
1730989345.0030744,5.0
1730989345.0070975,5.0
1730989345.010105,5.0
1730989345.0141225,5.0
1730989345.01812,5.0
1730989345.0231223,5.0
1730989345.027084,5.0
1730989345.031099,5.0
1730989345.034132,5.0
1730989345.0381424,5.0
1730989345.0421395,5.0
1730989345.0471551,5.0
1730989345.051168,5.0
1730989345.055158,5.0
1730989345.0591905,5.0
1730989345.0622065,5.0
1730989345.066189,5.0
1730989345.0701733,5.0
1730989345.07422,5.0
1730989345.0792024,5.0
1730989345.0831983,5.0
1730989345.0872416,5.0
1730989345.0902245,5.0
1730989345.0942442,5.0
1730989345.098237,5.0
1730989345.1022923,5.0
1730989345.1072965,5.0
1730989345.1112757,5.0
1730989345.1152687,5.0
1730989345.118419,5.0
1730989345.1224124,5.0
1730989345.1264386,5.0
1730989345.1304505,5.0
