Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731452288.5932553
-5557.224816945174,-187500.02235174447,8178.14566828557,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.610499
-5596.787404631067,-187500.02235174447,8153.402287173544,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.61418
-5628.884509668888,-187500.02235174447,8139.27598467779,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6187725
-5593.501698196137,-187500.02235174447,8149.848359805151,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.622161
-5555.906064022311,-187500.02235174447,8156.687993608474,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.625228
-5580.492982923149,-187500.02235174447,8151.547092383754,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6294353
-5613.797082161556,-187500.02235174447,8132.2575369188235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.633386
-5618.625058963902,-187500.02235174447,8128.524795594788,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6373787
-5560.979910013665,-187500.02235174447,8172.155400771547,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6414003
-5554.3861453993495,-187500.02235174447,8167.059203035737,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6452515
-5614.646448450858,-187500.02235174447,8141.913490523517,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6495264
-5630.292669569572,-187500.02235174447,8147.210853959425,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6533504
-5574.256846220118,-187500.02235174447,8165.963967557427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6564353
-5570.8817328073665,-187500.02235174447,8151.860016806128,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.660366
-5619.8767566534,-187500.02235174447,8123.763874025807,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6654105
-5626.828149179,-187500.02235174447,8127.004876971827,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6694727
-5576.737889854657,-187500.02235174447,8149.177807471491,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6735103
-5563.371546670383,-187500.02235174447,8142.494635879355,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6775088
-5611.360742015928,-187500.02235174447,8121.752217024829,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6815174
-5629.555062002548,-187500.02235174447,8126.84841476064,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.68453
-5587.1985062597405,-187500.02235174447,8136.057333476226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.688367
-5562.05279374752,-187500.02235174447,8135.319725909201,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6935306
-5609.416140248316,-187500.02235174447,8123.093321692148,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.6975763
-5635.746495216667,-187500.02235174447,8114.420844843489,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7015743
-5573.027500275076,-187500.02235174447,8127.94365023895,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.704533
-5535.498921334615,-187500.02235174447,8130.3129351512125,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.708507
-5606.733930913679,-187500.02235174447,8119.829967001673,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.712518
-5655.259568126151,-187500.02235174447,8118.421807100989,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7165518
-5625.799968934056,-187500.02235174447,8125.686124048963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7215605
-5580.24711373414,-187500.02235174447,8132.481054363377,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7255375
-5582.526991668581,-187500.02235174447,8129.530624095277,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7295167
-5627.968088146221,-187500.02235174447,8115.247859388335,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.732566
-5609.9749338596985,-187500.02235174447,8120.545222824243,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7364275
-5569.071241506486,-187500.02235174447,8141.913490523517,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.740597
-5578.280160222073,-187500.02235174447,8138.046638732749,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.744624
-5617.641582207869,-187500.02235174447,8117.192461155947,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.748652
-5611.450148993748,-187500.02235174447,8117.326571622679,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7536976
-5568.221875217185,-187500.02235174447,8137.867824777106,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7576842
-5571.395822929839,-187500.02235174447,8140.795903300751,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7606692
-5618.021561863609,-187500.02235174447,8120.008780957316,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7656105
-5625.1741200893075,-187500.02235174447,8108.408225585012,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7696593
-5570.05471826252,-187500.02235174447,8114.979638454872,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.772673
-5571.194657229741,-187500.02235174447,8118.13123442307,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7766457
