Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-1331.0910858024463,-187500.02235174447,3112.3463049347765,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4750626,1729114250.2156737,2000
-1490.4590237687855,-187500.02235174447,3124.215081240545,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4751377,1729114250.2156737,2000
-1505.5911547650285,-187500.02235174447,3104.076159486313,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4751923,1729114250.2156737,2000
-1344.4797807311752,-187500.02235174447,3089.435766868087,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4752114,1729114250.2156737,2000
-1315.869547828382,-187500.02235174447,3108.010066510447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475237,1729114250.2156737,2000
-1477.9420468738135,-187500.02235174447,3110.4240549116203,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4752948,1729114250.2156737,2000
-1537.5541493361177,-187500.02235174447,3099.09172047278,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4753966,1729114250.2156737,2000
-1370.1842868547783,-187500.02235174447,3100.8351565402936,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475408,1729114250.2156737,2000
-1297.675227841762,-187500.02235174447,3115.5873078807963,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475415,1729114250.2156737,2000
-1442.2910144675989,-187500.02235174447,3128.148988264679,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475422,1729114250.2156737,2000
-1533.8437597565369,-187500.02235174447,3119.722380605028,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754288,1729114250.2156737,2000
-1393.5865632994849,-187500.02235174447,3100.5445838623746,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475438,1729114250.2156737,2000
-1294.6577423402955,-187500.02235174447,3105.864299042737,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754453,1729114250.2156737,2000
-1423.672011336328,-187500.02235174447,3115.9672875365363,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475452,1729114250.2156737,2000
-1545.5560738511174,-187500.02235174447,3114.8049968248606,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475459,1729114250.2156737,2000
-1427.5835666160067,-187500.02235174447,3098.3317611612997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754658,1729114250.2156737,2000
-1295.9541435187034,-187500.02235174447,3093.302618658855,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754727,1729114250.2156737,2000
-1388.7585864971384,-187500.02235174447,3127.5454911643856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754803,1729114250.2156737,2000
-1546.628957584972,-187500.02235174447,3121.33170620581,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4754872,1729114250.2156737,2000
-1468.8672386249589,-187500.02235174447,3102.712703074539,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475494,1729114250.2156737,2000
-1309.9686872921811,-187500.02235174447,3095.13546170419,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475501,1729114250.2156737,2000
-1348.614853455407,-187500.02235174447,3104.366732164232,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475508,1729114250.2156737,2000
-1521.058561928101,-187500.02235174447,3117.241336970489,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.475515,1729114250.2156737,2000
-1494.7505587042044,-187500.02235174447,3100.723397818017,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4755216,1729114250.2156737,2000
-1321.7257048756726,-187500.02235174447,3101.058673984847,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4755285,1729114250.2156737,2000
-1323.9832310656586,-187500.02235174447,3121.4881684169973,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4755356,1729114250.2156737,2000
-1493.051826125601,-187500.02235174447,3127.2549184864665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4755423,1729114250.2156737,2000
-1516.2976403591206,-187500.02235174447,3105.6407815981847,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1729114250.4755492,1729114250.2156737,2000
