Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-145220.60247905285,-115794.35208968546,-115726.9168766638,-130936.11668778858,-148954.59550077864,-139806.22766092155,-187500.02235174447,-187500.02235174447,1729461300.0032215,1729461297.643032,1000
-145205.29153410095,-115850.67848571284,-115730.53785926556,-130924.56083590518,-148940.31273607168,-139792.749559015,-187500.02235174447,-187500.02235174447,1729461300.0063083,1729461297.643032,1000
-145198.4295485532,-115867.57640452104,-115721.12777484987,-130919.75521084729,-148934.00954413528,-139786.71458801205,-187500.02235174447,-187500.02235174447,1729461300.0103197,1729461297.643032,1000
-145207.5267085465,-115801.72816535571,-115722.15595509481,-130927.3548039621,-148941.54208201673,-139793.82244274885,-187500.02235174447,-187500.02235174447,1729461300.0143158,1729461297.643032,1000
-145208.4207783247,-115769.18402542878,-115722.37947253937,-130925.76783010577,-148941.69854422793,-139793.86714623775,-187500.02235174447,-187500.02235174447,1729461300.0183165,1729461297.643032,1000
-145196.84257469687,-115818.35786323046,-115729.55438250952,-130917.31887070167,-148931.1038173561,-139783.92061995514,-187500.02235174447,-187500.02235174447,1729461300.0224192,1729461297.643032,1000
-145187.23132458108,-115850.85729966848,-115719.87607716037,-130909.83103630913,-148922.38663701853,-139775.67282625113,-187500.02235174447,-187500.02235174447,1729461300.0263627,1729461297.643032,1000
-145192.93101941718,-115793.70388909626,-115710.86832414489,-130914.03316426673,-148926.67817195394,-139779.6514367642,-187500.02235174447,-187500.02235174447,1729461300.0303483,1729461297.643032,1000
-145200.03887415398,-115744.6194582724,-115714.82458291348,-130917.94471954642,-148932.71314295687,-139785.46289032255,-187500.02235174447,-187500.02235174447,1729461300.0333564,1729461297.643032,1000
-145188.59478099286,-115782.1256854684,-115720.1666498383,-130909.16048397547,-148921.93960212942,-139775.2034396176,-187500.02235174447,-187500.02235174447,1729461300.03846,1729461297.643032,1000
-145179.1176413438,-115826.56095344556,-115717.64090271485,-130902.85729203909,-148913.6024014476,-139767.4920877805,-187500.02235174447,-187500.02235174447,1729461300.0425007,1729461297.643032,1000
-145185.24201932456,-115782.23744419069,-115705.52625722007,-130907.9534897749,-148918.76565441675,-139772.4988785385,-187500.02235174447,-187500.02235174447,1729461300.046358,1729461297.643032,1000
-145192.50633627252,-115723.27354231758,-115707.1579345653,-130911.9991555213,-148925.0017911198,-139778.37738733023,-187500.02235174447,-187500.02235174447,1729461300.0502462,1729461297.643032,1000
-145183.94561814616,-115749.60389728594,-115701.19001879574,-130903.7513618173,-148917.02221834924,-139770.86720119324,-187500.02235174447,-187500.02235174447,1729461300.0542748,1729461297.643032,1000
-145167.45003073814,-115802.24225547818,-115702.10644031841,-130891.86023376707,-148902.18066003092,-139756.7408986975,-187500.02235174447,-187500.02235174447,1729461300.0582943,1729461297.643032,1000
-145169.30522552793,-115772.29091790807,-115689.56711167897,-130894.11775995705,-148903.76763388727,-139758.0820033648,-187500.02235174447,-187500.02235174447,1729461300.0612736,1729461297.643032,1000
-145178.20121982115,-115703.69341417473,-115697.92666410527,-130900.8009315492,-148911.43428223542,-139765.36867205723,-187500.02235174447,-187500.02235174447,1729461300.0652757,1729461297.643032,1000
-145172.83680115186,-115713.17055382379,-115693.2104460252,-130894.43068437943,-148906.51689845527,-139760.7865644439,-187500.02235174447,-187500.02235174447,1729461300.070292,1729461297.643032,1000
-145157.88348411125,-115771.46390336323,-115696.92083560477,-130884.19358541889,-148893.2846657377,-139748.31429103785,-187500.02235174447,-187500.02235174447,1729461300.074308,1729461297.643032,1000
-145159.35869924532,-115758.85751949043,-115687.3542889779,-130886.47346335334,-148894.7822326162,-139749.96832012755,-187500.02235174447,-187500.02235174447,1729461300.0783365,1729461297.643032,1000
-145170.48986798406,-115687.53310293355,-115695.9597105932,-130895.57062334665,-148904.5052414543,-139759.2442940765,-187500.02235174447,-187500.02235174447,1729461300.0823684,1729461297.643032,1000
-145166.39949874874,-115681.2522627416,-115687.80132386701,-130889.44624536589,-148900.48192745232,-139755.46684926355,-187500.02235174447,-187500.02235174447,1729461300.0863612,1729461297.643032,1000
-145150.17213227417,-115738.9197634363,-115692.33872799143,-130877.86804173805,-148885.72977611184,-139741.51936072344,-187500.02235174447,-187500.02235174447,1729461300.090324,1729461297.643032,1000
-145144.6065479048,-115744.4182925723,-115679.86645458538,-130873.66591378045,-148880.54417139819,-139736.51256996545,-187500.02235174447,-187500.02235174447,1729461300.0943472,1729461297.643032,1000
-145152.63082416425,-115674.21146323819,-115681.81105635299,-130879.85734699457,-148887.00382554578,-139742.59224445728,-187500.02235174447,-187500.02235174447,1729461300.0973165,1729461297.643032,1000
-145151.02149856347,-115652.01618099406,-115671.57395739245,-130874.8952597255,-148884.88040982254,-139740.46882873404,-187500.02235174447,-187500.02235174447,1729461300.1014178,1729461297.643032,1000
-145135.82231233388,-115706.9567688652,-115673.54091090453,-130863.67468400893,-148870.86586604905,-139727.21424427204,-187500.02235174447,-187500.02235174447,1729461300.1054509,1729461297.643032,1000
-145128.89327155272,-115728.30268482002,-115664.15317823329,-130858.71259673985,-148864.58502585712,-139721.42514245812,-187500.02235174447,-187500.02235174447,1729461300.1093884,1729461297.643032,1000
-145136.1128850118,-115665.71780034517,-115665.38252417833,-130865.17225088744,-148870.46353464885,-139726.90131984965,-187500.02235174447,-187500.02235174447,1729461300.1144764,1729461297.643032,1000
-145139.510350169,-115627.16104115976,-115668.98115503564,-130865.77574798773,-148873.10104049457,-139729.33765999528,-187500.02235174447,-187500.02235174447,1729461300.1185002,1729461297.643032,1000
-145125.87578605127,-115672.75859984859,-115672.89271031533,-130855.06926239363,-148860.3381944106,-139717.20066275605,-187500.02235174447,-187500.02235174447,1729461300.1214921,1729461297.643032,1000
-145115.3481144128,-115709.0131293551,-115665.67309685626,-130847.49202102328,-148850.97281348382,-139708.3270202073,-187500.02235174447,-187500.02235174447,1729461300.125462,1729461297.643032,1000
-145121.8077685604,-115654.2513554396,-115656.24066069612,-130852.96819841483,-148856.51604610874,-139713.5349766654,-187500.02235174447,-187500.02235174447,1729461300.1294105,1729461297.643032,1000
-145126.99337327402,-115602.52941877002,-115653.55845136147,-130854.7339862268,-148860.87463627753,-139717.737104623,-187500.02235174447,-187500.02235174447,1729461300.133486,1729461297.643032,1000
-145117.96326851408,-115638.06869245395,-115650.38450364882,-130847.02263438972,-148852.91741525143,-139710.24927023044,-187500.02235174447,-187500.02235174447,1729461300.138502,1729461297.643032,1000
-145107.05561721988,-115685.52144593257,-115650.6974280712,-130840.07124186412,-148843.55203432465,-139701.50973814842,-187500.02235174447,-187500.02235174447,1729461300.1424997,1729461297.643032,1000
-145111.1459864552,-115645.62358207985,-115645.15419544629,-130843.96044539935,-148846.94949948188,-139704.6836858611,-187500.02235174447,-187500.02235174447,1729461300.1465042,1729461297.643032,1000
-145113.8058440454,-115584.11158133885,-115645.26595416856,-130844.54159075518,-148848.5811768271,-139706.00243878394,-187500.02235174447,-187500.02235174447,1729461300.1495056,1729461297.643032,1000
-145107.81557653137,-115605.32338682693,-115644.55069834599,-130838.6854337079,-148843.06029594663,-139700.99564802597,-187500.02235174447,-187500.02235174447,1729461300.1535163,1729461297.643032,1000
-145098.07021594886,-115660.77806482054,-115648.93164025924,-130832.85162840506,-148834.70074352037,-139693.39605491117,-187500.02235174447,-187500.02235174447,1729461300.1574304,1729461297.643032,1000
-145099.5454310829,-115636.61582906435,-115640.30386689949,-130834.37154702801,-148835.61716504302,-139694.13366247818,-187500.02235174447,-187500.02235174447,1729461300.161462,1729461297.643032,1000
-145107.748521298,-115567.77245614202,-115644.55069834599,-130840.56298024215,-148842.1885779129,-139700.39215092568,-187500.02235174447,-187500.02235174447,1729461300.1654832,1729461297.643032,1000
-145104.01577997397,-115572.1757497997,-115649.71395131516,-130836.31614879564,-148838.34407786658,-139696.83822355728,-187500.02235174447,-187500.02235174447,1729461300.1705444,1729461297.643032,1000
-145088.43661408863,-115630.87143073934,-115658.6993525862,-130825.49790447926,-148824.19542362637,-139683.471880373,-187500.02235174447,-187500.02235174447,1729461300.1744924,1729461297.643032,1000
-145087.14021291022,-115626.66930278174,-115637.33108488693,-130823.3297852671,-148822.74256023677,-139682.13077570568,-187500.02235174447,-187500.02235174447,1729461300.1775093,1729461297.643032,1000
-145097.33260838184,-115556.48482519208,-115637.10756744238,-130830.7282126818,-148831.25857487423,-139690.19975545406,-187500.02235174447,-187500.02235174447,1729461300.1815732,1729461297.643032,1000
-145094.58334381384,-115545.73363610907,-115637.01816046455,-130826.81665740213,-148828.1740341394,-139687.1599182081,-187500.02235174447,-187500.02235174447,1729461300.1855881,1729461297.643032,1000
-145076.7019482496,-115602.4847152811,-115644.21542217916,-130813.51736945122,-148811.54433626466,-139671.37958662267,-187500.02235174447,-187500.02235174447,1729461300.1895883,1729461297.643032,1000
-145071.27047434694,-115612.5877037749,-115626.40108184828,-130808.3764682265,-148806.38108329548,-139666.59631330924,-187500.02235174447,-187500.02235174447,1729461300.1937003,1729461297.643032,1000
-145079.67473026214,-115544.10195876384,-115622.13189865732,-130814.70201190736,-148813.15366186545,-139672.966560479,-187500.02235174447,-187500.02235174447,1729461300.1985912,1729461297.643032,1000
-145081.32875935183,-115516.43049912817,-115619.24852362258,-130813.74088689577,-148814.20419385485,-139673.95003723504,-187500.02235174447,-187500.02235174447,1729461300.2025945,1729461297.643032,1000
-145068.3423958233,-115567.90656660874,-115625.28349462552,-130804.46491294682,-148802.44717627135,-139662.79651675184,-187500.02235174447,-187500.02235174447,1729461300.205584,1729461297.643032,1000
-145059.26758757443,-115595.28745356649,-115616.23103812111,-130797.78174135469,-148794.28878954516,-139655.08516491475,-187500.02235174447,-187500.02235174447,1729461300.209669,1729461297.643032,1000
-145066.97893941152,-115533.6189906143,-115610.41958456274,-130804.24139550226,-148800.83785067056,-139661.32130161778,-187500.02235174447,-187500.02235174447,1729461300.2146778,1729461297.643032,1000
-145070.8904946912,-115490.50247556002,-115607.11152638335,-130804.621375158,-148803.87768791648,-139664.27173188588,-187500.02235174447,-187500.02235174447,1729461300.218793,1729461297.643032,1000
-145060.07225037483,-115533.99897027004,-115605.81512520494,-130795.79243609816,-148793.97586512277,-139654.99575793694,-187500.02235174447,-187500.02235174447,1729461300.2217147,1729461297.643032,1000
-145048.15877058016,-115573.06981957793,-115601.47888678062,-130787.16466273842,-148783.2246760398,-139644.69160374303,-187500.02235174447,-187500.02235174447,1729461300.225639,1729461297.643032,1000
-145055.5348462504,-115522.15254570873,-115599.86956117983,-130794.2725174752,-148789.66197844292,-139650.74892649043,-187500.02235174447,-187500.02235174447,1729461300.230664,1729461297.643032,1000
-145061.90509342018,-115466.004963637,-115605.09986938238,-130798.42994194389,-148794.8252314121,-139655.75571724842,-187500.02235174447,-187500.02235174447,1729461300.2336855,1729461297.643032,1000
-145052.7855816824,-115495.95630120712,-115612.65475900826,-130790.60683138453,-148785.8174783966,-139647.4632200555,-187500.02235174447,-187500.02235174447,1729461300.2375543,1729461297.643032,1000
-145038.14518906418,-115547.1194442653,-115614.75582298706,-130779.69918009033,-148772.09350730103,-139634.4098012936,-187500.02235174447,-187500.02235174447,1729461300.2416255,1729461297.643032,1000
-145042.74964842197,-115514.12826944927,-115594.03575587699,-130782.22492721379,-148775.80389688062,-139638.07548738428,-187500.02235174447,-187500.02235174447,1729461300.2456079,1729461297.643032,1000
-145047.62232871322,-115450.11287332927,-115591.91234015374,-130784.23658421477,-148779.35782424902,-139641.2717868414,-187500.02235174447,-187500.02235174447,1729461300.2496147,1729461297.643032,1000
-145040.3803635097,-115465.91555665918,-115584.60331971686,-130776.21230795531,-148772.18291427888,-139634.3203943158,-187500.02235174447,-187500.02235174447,1729461300.2546155,1729461297.643032,1000
-145025.76232263594,-115521.34788290833,-115588.29135755198,-130766.13167120596,-148758.88362632797,-139621.78106567636,-187500.02235174447,-187500.02235174447,1729461300.2576916,1729461297.643032,1000
-145025.91878484713,-115502.32654837688,-115575.81908414591,-130766.10931946151,-148758.59305365005,-139621.49049299842,-187500.02235174447,-187500.02235174447,1729461300.2618442,1729461297.643032,1000
-145033.45132272856,-115431.739739387,-115579.95415687015,-130772.21134569781,-148764.7621351197,-139627.3019465568,-187500.02235174447,-187500.02235174447,1729461300.2658582,1729461297.643032,1000
-145028.75745639295,-115431.42681496464,-115576.71315392414,-130765.99756073924,-148759.84475133952,-139622.54102498782,-187500.02235174447,-187500.02235174447,1729461300.269847,1729461297.643032,1000
-145017.40277020965,-115490.36836509328,-115585.45268600616,-130758.68854030235,-148749.607652379,-139613.01918184987,-187500.02235174447,-187500.02235174447,1729461300.2738087,1729461297.643032,1000
-145015.59227890876,-115489.65310927072,-115570.65583117674,-130756.96745597929,-148747.61834712248,-139611.32044927127,-187500.02235174447,-187500.02235174447,1729461300.2798944,1729461297.643032,1000
-145024.10829354625,-115418.88748632521,-115574.2321102896,-130764.20942118281,-148754.79325709265,-139618.0483243523,-187500.02235174447,-187500.02235174447,1729461300.2828832,1729461297.643032,1000
-145022.56602317884,-115401.52018088344,-115572.9804126001,-130760.70019730333,-148752.9604140473,-139616.23783305142,-187500.02235174447,-187500.02235174447,1729461300.2858732,1729461297.643032,1000
-145009.19967999455,-115456.61723096577,-115579.55182546996,-130750.73131927627,-148740.19756796333,-139604.27964976785,-187500.02235174447,-187500.02235174447,1729461300.2896483,1729461297.643032,1000
-145002.11417700222,-115471.61525149528,-115564.08441830688,-130744.56223780659,-148733.67085858237,-139598.11056829817,-187500.02235174447,-187500.02235174447,1729461300.2936573,1729461297.643032,1000
-145010.40667419514,-115404.76118382945,-115561.55867118343,-130751.60303731002,-148741.0022307637,-139605.06196082378,-187500.02235174447,-187500.02235174447,1729461300.297685,1729461297.643032,1000
-145012.19481375156,-115372.5299683249,-115559.45760720463,-130751.111298932,-148742.61155636449,-139606.6042311912,-187500.02235174447,-187500.02235174447,1729461300.301673,1729461297.643032,1000
-144999.85665081223,-115422.82139334934,-115562.40803747273,-130740.91890346038,-148730.31809691407,-139595.0483793078,-187500.02235174447,-187500.02235174447,1729461300.3057668,1729461297.643032,1000
-144993.3746449202,-115454.62792570925,-115556.61893565881,-130736.47090631377,-148724.23842242223,-139589.59455366072,-187500.02235174447,-187500.02235174447,1729461300.309755,1729461297.643032,1000
-145002.04712176885,-115396.37927965872,-115555.88132809178,-130745.43395584036,-148732.37445740396,-139597.3506089867,-187500.02235174447,-187500.02235174447,1729461300.3137856,1729461297.643032,1000
-145006.5845258933,-115348.99358141347,-115556.1271972808,-130748.25027564172,-148737.53771037314,-139602.31269625577,-187500.02235174447,-187500.02235174447,1729461300.316775,1729461297.643032,1000
-144994.93926703208,-115387.57269234332,-115555.09901703586,-130736.60501678051,-148725.13249220044,-139590.55567867227,-187500.02235174447,-187500.02235174447,1729461300.320708,1729461297.643032,1000
-144983.4728221265,-115430.82331786434,-115551.99212455656,-130727.68667074284,-148714.0013234617,-139580.02800703383,-187500.02235174447,-187500.02235174447,1729461300.3257425,1729461297.643032,1000
-144988.70313032903,-115384.77872428641,-115545.778339598,-130733.2075516233,-148718.96341073076,-139584.83363209173,-187500.02235174447,-187500.02235174447,1729461300.329722,1729461297.643032,1000
-144993.75462457593,-115325.92658113559,-115549.9804675556,-130737.58849353655,-148725.02073347816,-139590.53332692783,-187500.02235174447,-187500.02235174447,1729461300.3337572,1729461297.643032,1000
-144985.50683087192,-115353.15100588216,-115550.94159256716,-130728.69249924333,-148715.47653859574,-139581.39146344562,-187500.02235174447,-187500.02235174447,1729461300.3367677,1729461297.643032,1000
-144972.14048768766,-115405.7446605855,-115552.26034549002,-130717.80719969359,-148701.7972709891,-139568.4945068949,-187500.02235174447,-187500.02235174447,1729461300.3408327,1729461297.643032,1000
-144974.77799353338,-115376.0391922044,-115537.15056623824,-130720.06472588358,-148704.52418381264,-139571.1543644851,-187500.02235174447,-187500.02235174447,1729461300.3448427,1729461297.643032,1000
-144980.09770871376,-115309.87802861667,-115537.68700810517,-130725.94323467533,-148711.38616936043,-139577.61401863265,-187500.02235174447,-187500.02235174447,1729461300.3490045,1729461297.643032,1000
-144970.55351383134,-115320.09277583276,-115530.33328417937,-130714.83441768104,-148700.97025644427,-139567.6004371167,-187500.02235174447,-187500.02235174447,1729461300.353794,1729461297.643032,1000
-144956.85189448023,-115376.91091023815,-115534.6695226037,-130703.18915881982,-148686.3969190594,-139553.56354159876,-187500.02235174447,-187500.02235174447,1729461300.3578224,1729461297.643032,1000
-144957.90242646963,-115363.2763461204,-115522.2196009421,-130704.53026348715,-148687.7380237267,-139554.8822945216,-187500.02235174447,-187500.02235174447,1729461300.361872,1729461297.643032,1000
-144963.84799049475,-115292.28720573035,-115526.82406029988,-130712.33102230204,-148696.03052091962,-139562.70540508098,-187500.02235174447,-187500.02235174447,1729461300.3648753,1729461297.643032,1000
-144960.89756022664,-115288.73327836196,-115523.15837420922,-130707.83832166652,-148692.83422146252,-139559.7996783018,-187500.02235174447,-187500.02235174447,1729461300.3689961,1729461297.643032,1000
-144950.25812986592,-115347.33955232377,-115530.40033941274,-130697.75768491719,-148679.80315444508,-139547.55092234028,-187500.02235174447,-187500.02235174447,1729461300.373024,1729461297.643032,1000
-144946.95007168653,-115351.65343900365,-115514.24002817155,-130694.6954959268,-148676.36098579896,-139544.39932637208,-187500.02235174447,-187500.02235174447,1729461300.3771694,1729461297.643032,1000
-144950.97338568847,-115281.87129281418,-115515.20115318312,-130701.13279832994,-148682.70888122427,-139550.30018690828,-187500.02235174447,-187500.02235174447,1729461300.3820639,1729461297.643032,1000
-144948.84996996523,-115259.76541754788,-115508.3168158909,-130697.71298142827,-148681.8818666794,-139549.40611713007,-187500.02235174447,-187500.02235174447,1729461300.3860607,1729461297.643032,1000
-144941.13861812814,-115314.86246763021,-115511.22254267009,-130688.57111794605,-148670.70599445177,-139538.96785246945,-187500.02235174447,-187500.02235174447,1729461300.390061,1729461297.643032,1000
-144935.32716456975,-115335.85075567375,-115502.55006582143,-130683.31845799905,-148664.40280251537,-139533.02228844434,-187500.02235174447,-187500.02235174447,1729461300.3930972,1729461297.643032,1000
-144938.6575744936,-115271.18715896455,-115505.29933038943,-130690.33690575803,-148670.41542177385,-139538.6772797915,-187500.02235174447,-187500.02235174447,1729461300.3972373,1729461297.643032,1000
-144937.1600076151,-115234.37383584665,-115505.45579260061,-130689.50989121318,-148671.4436020188,-139539.6384048031,-187500.02235174447,-187500.02235174447,1729461300.4009824,1729461297.643032,1000
-144927.57110924379,-115282.38538293666,-115507.66861530169,-130677.03761780712,-148657.29494777857,-139526.16030289655,-187500.02235174447,-187500.02235174447,1729461300.4049356,1729461297.643032,1000
-144920.7538271849,-115318.28228453187,-115500.38194660925,-130670.06387353706,-148648.95774709675,-139518.3818958261,-187500.02235174447,-187500.02235174447,1729461300.4089324,1729461297.643032,1000
-144925.5147487539,-115263.16288270509,-115495.08458317335,-130677.73052188523,-148656.33382276702,-139525.44504707397,-187500.02235174447,-187500.02235174447,1729461300.4139397,1729461297.643032,1000
