main,time_marker
1000,1731452286.3500814
6000,1731452291.3630931
1000,1731452296.3757074
6000,1731452301.3773825
1000,1731452306.3855438
6000,1731452311.3876367
1000,1731452316.3923826
6000,1731452321.402001
1000,1731452326.4040484
6000,1731452331.4099648
1000,1731452336.414933
6000,1731452341.4203868
1000,1731452346.431251
6000,1731452351.4466808
1000,1731452356.4543324
6000,1731452361.4622307
1000,1731452366.4709811
6000,1731452371.4823132
1000,1731452376.4891882
6000,1731452381.4895148
1000,1731452386.4968188
6000,1731452391.5070992
1000,1731452396.5131047
6000,1731452401.5280874
1000,1731452406.5401256
6000,1731452411.5430982
1000,1731452416.5504668
6000,1731452421.5857015
1000,1731452426.6266603
6000,1731452431.6698895
1000,1731452436.69216
6000,1731452441.7273333
1000,1731452446.765503
6000,1731452451.7660236
1000,1731452456.7699854
6000,1731452461.785448
1000,1731452466.798717
6000,1731452471.80336
1000,1731452476.8062272
6000,1731452481.8215766
