time_marker,marker
1731452286.3500814,1000
1731452291.3630931,6000
1731452296.3757074,1000
1731452301.3773825,6000
1731452306.3855438,1000
1731452311.3876367,6000
1731452316.3923826,1000
1731452321.402001,6000
1731452326.4040484,1000
1731452331.4099648,6000
1731452336.414933,1000
1731452341.4203868,6000
1731452346.431251,1000
1731452351.4466808,6000
1731452356.4543324,1000
1731452361.4622307,6000
1731452366.4709811,1000
1731452371.4823132,6000
1731452376.4891882,1000
1731452381.4895148,6000
1731452386.4968188,1000
1731452391.5070992,6000
1731452396.5131047,1000
1731452401.5280874,6000
1731452406.5401256,1000
1731452411.5430982,6000
1731452416.5504668,1000
1731452421.5857015,6000
1731452426.6266603,1000
1731452431.6698895,6000
1731452436.69216,1000
1731452441.7273333,6000
1731452446.765503,1000
1731452451.7660236,6000
1731452456.7699854,1000
1731452461.785448,6000
1731452466.798717,1000
1731452471.80336,6000
1731452476.8062272,1000
1731452481.8215766,6000
